id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K0BS6TWY1ZKQMCJDPP3KK40W	FENDER - CORONADO BASS II	Basses Electriques	CORONADO BASS II									Basses Electriques	Bass
01K0BS6Z9VR6WN5XPN01H943PH	FENDER  - PRECISION BASS AVRI '58	Basses Electriques	PRECISION BASS AVRI '58									Basses Electriques	Bass
01K0BS73QXG4A3H43C6RSYN3XP	FENDER  - PRECISION BASS VINTAGE '76	Basses Electriques	PRECISION BASS VINTAGE '76									Basses Electriques	Bass
01K0BS78KTZ6T2WN7W10S9VKGD	FENDER  - PRECISION BASS AMERICAN PRO SUNBURST	Basses Electriques	PRECISION BASS AMERICAN PRO SUNBURST									Basses Electriques	Bass
01K0BS7D5J5W1HB1KEAJ38V8SG	FENDER  - PRECISION BASS AMERICAN PRO ANTIQUE	Basses Electriques	PRECISION BASS AMERICAN PRO ANTIQUE									Basses Electriques	Bass
01K0BS7HXXKSFB6QAFCTX89E15	FENDER - PRECISION BASS AMERICAN STD BLACK	Basses Electriques	PRECISION BASS AMERICAN STD BLACK									Basses Electriques	Bass
01K0BS7PT3TA3EV11J67Q4MRBV	FENDER - PRECISION BASS V AMERICAN PRO SUNBURST	Basses Electriques	PRECISION BASS V AMERICAN PRO SUNBURST									Basses Electriques	Bass
01K0BS7V64WZEJV6H08BFY8WQQ	FENDER - JAZZ BASS AMERICAN ORIGINAL '50 NATURAL	Basses Electriques	JAZZ BASS AMERICAN ORIGINAL '50 NATURAL									Basses Electriques	Bass
01K0BS7ZNZTQZWS9Q1X85EZ6H9	FENDER - JAZZ BASS AMERICAN ORIGINAL ‘60 SUNBURST	Basses Electriques	JAZZ BASS AMERICAN ORIGINAL ‘60 SUNBURST									Basses Electriques	Bass
01K0BS83Z2MWS7W5NYK6XSFMNC	FENDER  - JAZZ BASS AMERICAN PRO SONIC GRAY	Basses Electriques	JAZZ BASS AMERICAN PRO SONIC GRAY									Basses Electriques	Bass
01K0BS8891N0F0ZPZH69GD4PMM	FENDER  - JAZZ BASS AVRI '62	Basses Electriques	JAZZ BASS AVRI '62									Basses Electriques	Bass
01K0BS8CM6ZGXXMTNT57RFTVXB	FENDER  - JAZZ BASS VINTAGE '76 CREAM	Basses Electriques	JAZZ BASS VINTAGE '76 CREAM									Basses Electriques	Bass
01K0BS8H1BH2TAN1BGASB1B9YV	FENDER  - JAZZ BASS V AMERICAN DELUXE SUNBURST	Basses Electriques	JAZZ BASS V AMERICAN DELUXE SUNBURST									Basses Electriques	Bass
01K0BS8NG2516YY48NYZMNBGVS	FENDER - JAZZ BASS V AMERICAN PRO SUNBURST	Basses Electriques	JAZZ BASS V AMERICAN PRO SUNBURST									Basses Electriques	Bass
01K0BS8T178G8GNMH8T4BN8QK5	GUILD - B4 BASSE ELECTRO-ACOUSTIC	Basses Electriques	B4 BASSE ELECTRO-ACOUSTIC									Basses Electriques	Bass
01K0BS8YJ72HG924AY1GZ79BWW	MUSIC MAN - STINGRAY 5 ACTIVE	Basses Electriques	STINGRAY 5 ACTIVE									Basses Electriques	Bass
01K0BS932KEB89R5NB174VZAHJ	OVATION  - ACOUSTIC BASS 5	Basses Electriques	ACOUSTIC BASS 5									Basses Electriques	Bass
01K42RYPX9N8KA995KKH73WGVG	FENDER - AMERICAN ELITE JAZZ BASS 5 CORDES	Basses Electriques	AMERICAN ELITE JAZZ BASS 5 CORDES									Basses Electriques	Bass
