id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K0961T33WG2KAQ48X6FYCD3E	MARKBASS - COMBO 121 LITE ALAIN CARON	Combo Basse	COMBO 121 LITE ALAIN CARON									Combo Basse	Bass
01K096112BJ5GJFFQZRXC54PAA	AGUILAR  - AG500	Combo Basse	AG500									Combo Basse	Bass
01K09613VDPP3SBYX90XRFVBFZ	AMPEG - BA600 210	Combo Basse	BA600 210									Combo Basse	Bass
01K09616KG6SSBAVBHRMTG0AW0	AMPEG  - BA115HPT	Combo Basse	BA115HPT									Combo Basse	Bass
01K09619C62A2FMBW7XC6FF1TG	AMPEG  - B15	Combo Basse	B15									Combo Basse	Bass
01K0961C4NA1R3M9WJZGGN14XK	AMPEG  - B15 HERITAGE	Combo Basse	B15 HERITAGE									Combo Basse	Bass
01K0961EY0D4KPECG8GJX6CH51	EBS  - DROME 150	Combo Basse	DROME 150									Combo Basse	Bass
01K0961HPW9PYY5PETPS7H7GAR	EDEN - METRO	Combo Basse	METRO									Combo Basse	Bass
01K0961MH0C5MZ0PWXNXRNRCW9	EPIFANI - 210UL	Combo Basse	210UL									Combo Basse	Bass
01K0961Q9W8DCFXE27TWS93KFA	GALLIEN-KRUEGER - MB150E	Combo Basse	MB150E/S									Combo Basse	Bass
01K0961WWKNDMM3RC5HPDFFD93	MARKBASS - CMD 151P JEFF BERLIN	Combo Basse	CMD 151P JEFF BERLIN									Combo Basse	Bass
01K0961ZNYRQG6M371548SJHBH	POLYTONE - 15B	Combo Basse	15B									Combo Basse	Bass
01K09622EXWG1YDXRDPHAJFKP5	SWR - SUPER REDHEAD	Combo Basse	SUPER REDHEAD									Combo Basse	Bass
01K096259MKTBK8VG03MT1TDM8	TRACE ELLIOT  - 1215	Combo Basse	1215									Combo Basse	Bass
01K096282NWZYDY839CA750S5A	FENDER - HOT ROD DELUXE IV	Combo Basse	HOT ROD DELUXE IV									Combo Basse	Bass
