id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K095QZBRPAXX3SSTJ1M4H1PT	AGUILAR - DB751	Tête Basse	DB751									Tête Basse	Bass
01K095R1VBQ70M45T49X88ZY5P	AGUILAR  - DB750	Tête Basse	DB750									Tête Basse	Bass
01K095R4D6Y3JHVZ6DRM03QWJX	AGUILAR - TONE HAMMER 500	Tête Basse	TONE HAMMER 500									Tête Basse	Bass
01K095R6WMJNMDYYG6E8W33KCE	AGUILAR - AG500	Tête Basse	AG500		1000					[]		Tête Basse	Bass
01K095R9EQ1Y71E1W37W1743PH	AMPEG - SVT CLASSIC	Tête Basse	SVT CLASSIC									Tête Basse	Bass
01K095RBZ0A46K2C5QAVFHXGFJ	AMPEG - SVT VR	Tête Basse	SVT VR									Tête Basse	Bass
01K095REGSESBTEVGWBT38FRXH	AMPEG - AMPEG SVT VR 50TH ANNIVERSARY	Tête Basse	AMPEG SVT VR 50TH ANNIVERSARY									Tête Basse	Bass
01K095RH23TN523TPSK106BH5B	AMPEG  - SVT CLASSIC HERITAGE	Tête Basse	SVT CLASSIC HERITAGE									Tête Basse	Bass
01K095RKM2JZ70H523F7QS0NHV	AMPEG - SVT VINTAGE	Tête Basse	SVT VINTAGE									Tête Basse	Bass
01K095SFMDT2TCEW37K96RGEVM	EBS  - TD650	Tête Basse	TD650									Tête Basse	Bass
01K095RP5TZJXZ97J6K9RH91VP	AMPEG  - V-4B	Tête Basse	V-4B									Tête Basse	Bass
01K095RRRRYE35FAV7W38NCBMS	AMPEG  - SVTII	Tête Basse	SVTII									Tête Basse	Bass
01K095RV9EDBX79HYAFWPCBHN5	AMPEG  - SVT-2 PRO	Tête Basse	SVT-2 PRO									Tête Basse	Bass
01K095RXV9DGS3DYC22ECWPYAK	AMPEG  - SVT-3 PRO	Tête Basse	SVT-3 PRO									Tête Basse	Bass
01K095S0BJTNRQRT1RAG22PF38	AMPEG - SVT-4 PRO	Tête Basse	SVT-4 PRO									Tête Basse	Bass
01K095S2X9K4X60CCHYGHM5Q60	AMPEG  - SVT-6 PRO	Tête Basse	SVT-6 PRO									Tête Basse	Bass
01K095S5D8C18PVBQ2CCTNBBTA	AMPEG  - SVT-7 PRO	Tête Basse	SVT-7 PRO									Tête Basse	Bass
01K095S7YV9KY3S11RSVTDKBMH	AMPEG  - PF-350 PORTAFLEX	Tête Basse	PF-350 PORTAFLEX									Tête Basse	Bass
01K095SAGA62KW1FP70VGG33ZH	ASHDOWN - EVO900	Tête Basse	EVO900									Tête Basse	Bass
01K095SD1EE95NRWT805RCF14J	EBS  - TD660	Tête Basse	TD660									Tête Basse	Bass
01K095SJ73F4FCKX673W0058P3	EBS - TD600 FAFNER	Tête Basse	TD600 FAFNER									Tête Basse	Bass
01K095SMS3SYRAKD8H32483S5J	EBS - CLASSIC 500	Tête Basse	CLASSIC 500									Tête Basse	Bass
01K095SQGBHRKGSJ93PS4FDX7V	EDEN - WT550	Tête Basse	WT550									Tête Basse	Bass
01K095ST2GNPJA0M6C792JP9TA	EDEN - WT800	Tête Basse	WT800									Tête Basse	Bass
01K095SWQDZ4VRB7RX6XGE58PY	FENDER  - SUPER BASSMAN HD	Tête Basse	SUPER BASSMAN HD									Tête Basse	Bass
01K095SZ9HN29WREA5J1HRWQB8	GALLIEN-KRUEGER - FUSION 550	Tête Basse	FUSION 550									Tête Basse	Bass
01K095T1WAPJSC36JXYEAPRCNV	GALLIEN-KRUEGER - RB700	Tête Basse	RB700									Tête Basse	Bass
01K095T4CXYXE26GTGCGQD6RP9	GALLIEN-KRUEGER - RB800	Tête Basse	RB800									Tête Basse	Bass
01K095T6YFCNA3FS7Q0NZEZSQC	GALLIEN-KRUEGER  - RB1001	Tête Basse	RB1001									Tête Basse	Bass
01K095T9HBJMJCKP59E4HF112F	GALLIEN-KRUEGER - RB2001	Tête Basse	RB2001									Tête Basse	Bass
01K095TC3PRREAY3SEYSPTTMMN	HARTKE - HA3500	Tête Basse	HA3500									Tête Basse	Bass
01K095TEN4K7CEX2Q0ENAKD3Z6	HARTKE - HA5000	Tête Basse	HA5000									Tête Basse	Bass
01K095TH7WKXVS53SV6Z9NQS8T	HARTKE - HA5500	Tête Basse	HA5500									Tête Basse	Bass
01K095TKTYJN60EE7MTJTJ5ZJG	HARTKE - HA7000	Tête Basse	HA7000									Tête Basse	Bass
01K095TPES62FFWAHVZCJABTK2	MARSHALL - VBA400	Tête Basse	VBA400									Tête Basse	Bass
01K095TS12RCYQKNA9GJPZJZYP	MARKBASS - LITTLE MARK TUBE 800	Tête Basse	LITTLE MARK TUBE 800									Tête Basse	Bass
01K095TVN8AGXHAENBEDQD4TEM	MARKBASS - LITTLE MARK 800	Tête Basse	LITTLE MARK 800									Tête Basse	Bass
