id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K0990SG0ZSWCMWMW9H95F66N	PIONEER - DJM-V10	Mixette	DJM-V10									Mixette	DJ
01K0990XGJNA2NFJZQ7R1BYTGB	PIONEER - DJM-900 NEXUS 2	Mixette	DJM-900 NEXUS 2									Mixette	DJ
01K09911MAB3T3P0N2YF93CDHY	PIONEER - DJM-S11	Mixette	DJM-S11									Mixette	DJ
01K09915NJH0H6KXH3ZY42S5XR	PIONEER - DJM-S9	Mixette	DJM-S9									Mixette	DJ
01K09919NYNNCR6RA0BBA0QAQN	PIONEER - DJM-900 NEXUS	Mixette	DJM-900 NEXUS									Mixette	DJ
01K0991DRM7EA6N62PPYSAA86Y	PIONEER  - DJM-900 SRT	Mixette	DJM-900 SRT									Mixette	DJ
01K0991HW0KSFCDK6YN742G6H5	PIONEER - DJM-2000 NEXUS	Mixette	DJM-2000 NEXUS									Mixette	DJ
01K0991NXP19N1WEPRDEBDKDC9	PIONEER - DJM-1000	Mixette	DJM-1000									Mixette	DJ
01K0991SZ7GJC0VCBFJQM44QM9	ALLEN & HEATH - XONE:DB4	Mixette	XONE:DB4									Mixette	DJ
01K0991Y4RJJV9QWC9Y19AEMW7	ALLEN & HEATH - XONE:92	Mixette	XONE:92									Mixette	DJ
01K0992271SRB5SMD8DQ7PN3E5	ALLEN & HEATH - XONE:96	Mixette	XONE:96									Mixette	DJ
01K09926AYZ5SPZ0XVYRB11XRW	RANE  - 62 SIXTY-TWO	Mixette	62 SIXTY-TWO									Mixette	DJ
01K0992AE71S6M9554S4DV13JZ	RANE  - 72 SEVENTY-TWO	Mixette	72 SEVENTY-TWO									Mixette	DJ
01K0992EK81YXV4ZE7HWK9V38A	RANE  - TTM57 MKII	Mixette	TTM57 MKII									Mixette	DJ
01K0992JQ2TYRQSFEC9BWA6MZ6	RANE  - MP2015	Mixette	MP2015									Mixette	DJ
01K0992PS83G3HZJ549ENGRZWT	ELECTRONIC & SPECTACLE  - DJR-400	Mixette	DJR-400									Mixette	DJ
01K0992TXJT8A7QA0ZNDG88E1M	PLAYDIFFERENTLY - MODEL 1	Mixette	MODEL 1									Mixette	DJ
01K0992Z2YANSNA7S205Z9YF1A	DENON - X1850 PRIME	Mixette	X1850 PRIME									Mixette	DJ
01K42RYR07FME08E73K2XZ3ZRF	PIONEER - Dj DJM-S7	Mixette	Dj DJM-S7									Mixette	DJ
