id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K097EBSTQYK8MVTYBV9F2ATY	ASBA - REVELATION ALICE COPPER	Batteries Acoustiques	REVELATION ALICE COPPER									Batteries Acoust.	Drums
01K097EEZ7VPP57S16CM017F8X	C&C - CUSTOM ABALONE	Batteries Acoustiques	CUSTOM ABALONE									Batteries Acoust.	Drums
01K097EJ2YVDXTSSRJJJG6MEEM	CANOPUS - NEO VINTAGE M1	Batteries Acoustiques	NEO VINTAGE M1									Batteries Acoust.	Drums
01K097EN7DC58D8VMNP2MQ9ZZT	CANOPUS  - RFM SILVER	Batteries Acoustiques	RFM SILVER									Batteries Acoust.	Drums
01K097ERAV21TVNQJTKHJK6744	CRAVIOTTO  - JAZZ KIT	Batteries Acoustiques	JAZZ KIT									Batteries Acoust.	Drums
01K097EVFJBMTC87ZWH9NV9T72	CRAVIOTTO - ROCK KIT	Batteries Acoustiques	ROCK KIT									Batteries Acoust.	Drums
01K097EYKY2H17KGF6B0S3G88S	DW - COLLECTOR'S BROKEN GLASS	Batteries Acoustiques	COLLECTOR'S BROKEN GLASS									Batteries Acoust.	Drums
01K097F1QJKZTHK4NHJJZ0FNM9	DW - COLLECTOR'S BLACK OYSTER GLASS	Batteries Acoustiques	COLLECTOR'S BLACK OYSTER GLASS									Batteries Acoust.	Drums
01K097F4TG7W103WSBESM0ZQWB	DW - COLLECTOR'S SOLID BLACK LACQUER	Batteries Acoustiques	COLLECTOR'S SOLID BLACK LACQUER									Batteries Acoust.	Drums
01K097F7YS30S9PC0G9Z8NZKKA	DW - COLLECTOR'S BLACK MIRRA	Batteries Acoustiques	COLLECTOR'S BLACK MIRRA									Batteries Acoust.	Drums
01K097FB2N194GWKYECC27FMGZ	DW - COLLECTOR'S TOBACCO SUNBURST	Batteries Acoustiques	COLLECTOR'S TOBACCO SUNBURST									Batteries Acoust.	Drums
01K097FE67X6WHHQC3YT4PAANP	DW - COLLECTOR'S NATURAL SATIN VINTAGE '90	Batteries Acoustiques	COLLECTOR'S NATURAL SATIN VINTAGE '90									Batteries Acoust.	Drums
01K097FHDDG6QXRFMBJJBPJXS2	GMS  - SE RASPBERRY SPARKLE	Batteries Acoustiques	SE RASPBERRY SPARKLE									Batteries Acoust.	Drums
01K097FMGMJHC863JF7Y7K7112	GMS  - NEW CL ACRYLIC	Batteries Acoustiques	NEW CL ACRYLIC									Batteries Acoust.	Drums
01K097FQM2XXERDZ0DDGK3E3HJ	GMS - NEW CL SILVER	Batteries Acoustiques	NEW CL SILVER									Batteries Acoust.	Drums
01K097FTRW46N6F94ARZB0WY3Y	GRETSCH - BROADKASTER DEEP BLACK MARINE PEARL	Batteries Acoustiques	BROADKASTER DEEP BLACK MARINE PEARL									Batteries Acoust.	Drums
01K097FXXWD905CDKMVD52WPY4	GRETSCH - BROADKASTER VINTAGE '90	Batteries Acoustiques	BROADKASTER VINTAGE '90									Batteries Acoust.	Drums
01K097G13ZXF102F5CQ2E647S2	GRETSCH - BROOKLYN VINTAGE CREAM OYSTER	Batteries Acoustiques	BROOKLYN VINTAGE CREAM OYSTER									Batteries Acoust.	Drums
01K097G46RF5Q5T5CCNDDR0AER	GRETSCH - USA CUSTOM NATURAL SATIN MAPLE	Batteries Acoustiques	USA CUSTOM NATURAL SATIN MAPLE									Batteries Acoust.	Drums
01K097G7ASGYYRW3CGH5ZVA9F7	GRETSCH - USA MAPLE	Batteries Acoustiques	USA MAPLE									Batteries Acoust.	Drums
01K097GADV1M2F8XQ4ZE5HQ4CE	GRETSCH  - NEW CLASSIC VINTAGE GLASS NITRON	Batteries Acoustiques	NEW CLASSIC VINTAGE GLASS NITRON									Batteries Acoust.	Drums
01K097GDJS2S13TYC3KAW0XTJ1	GRETSCH - NEW CLASSIC BLACK SPARKLE	Batteries Acoustiques	NEW CLASSIC BLACK SPARKLE									Batteries Acoust.	Drums
01K097GGQ10PFW8Z6A9B2VC7JW	GRETSCH - NEW CLASSIC IVORY MARINE JAZZ	Batteries Acoustiques	NEW CLASSIC IVORY MARINE JAZZ									Batteries Acoust.	Drums
01K097GKWE4VQ9Q8RNEVF0Q3A7	GRETSCH - RENOWN MAPLE VINTAGE PEARL	Batteries Acoustiques	RENOWN MAPLE VINTAGE PEARL									Batteries Acoust.	Drums
01K097GQ0G08G0QYSB31GE48FX	GRETSCH - RENOWN MAPLE BLUE METAL SPARKLE	Batteries Acoustiques	RENOWN MAPLE BLUE METAL SPARKLE									Batteries Acoust.	Drums
01K097GT5EGYR03MRW2Z420FF3	GRETSCH - RENOWN MAPLE SILVER OYSTER PEARL	Batteries Acoustiques	RENOWN MAPLE SILVER OYSTER PEARL									Batteries Acoust.	Drums
01K097GXAVRTC1YERJP8R9Z4AA	GRETSCH - RENOWN MAPLE SILVER SLATE	Batteries Acoustiques	RENOWN MAPLE SILVER SLATE									Batteries Acoust.	Drums
01K097H0J6Y6CP5PB3GBKR0288	LUDWIG  - CLASSIC MAPLE SILVER SPARKLE	Batteries Acoustiques	CLASSIC MAPLE SILVER SPARKLE									Batteries Acoust.	Drums
01K097H3QNFMBFH0KF4M47Q8QB	LUDWIG - CLASSIC MAPLE RED SPARKLE	Batteries Acoustiques	CLASSIC MAPLE RED SPARKLE									Batteries Acoust.	Drums
01K097H6WCGQDW5HX3F6P2FP5V	LUDWIG  - CLASSIC MAPLE SKY BLUE PEARL	Batteries Acoustiques	CLASSIC MAPLE SKY BLUE PEARL									Batteries Acoust.	Drums
01K097HA0YXE2YF76H4J9H49D9	LUDWIG - VINTAGE '63 CHAMPAGNE SPARKLE	Batteries Acoustiques	VINTAGE '63 CHAMPAGNE SPARKLE									Batteries Acoust.	Drums
01K097HD6HPBW8CM9E3HFVM1A7	LUDWIG  - VINTAGE '65 WHITE MARINE	Batteries Acoustiques	VINTAGE '65 WHITE MARINE									Batteries Acoust.	Drums
01K097HGAFBWVGJFVMBM2PVXMG	LUDWIG  - VINTAGE '66 BLUE SPARKLE	Batteries Acoustiques	VINTAGE '66 BLUE SPARKLE									Batteries Acoust.	Drums
01K097HKGACQ4Z1162GQMBR7R8	LUDWIG  - VINTAGE '66 SILVER SPARKLE	Batteries Acoustiques	VINTAGE '66 SILVER SPARKLE									Batteries Acoust.	Drums
01K097HPP2HK6SHYKPBY95DJKM	LUDWIG  - VINTAGE '70 ORANGE SPARKLE	Batteries Acoustiques	VINTAGE '70 ORANGE SPARKLE									Batteries Acoust.	Drums
01K097HSV35S2BTGE8NYSXSB4S	LUDWIG  - LEGACY CHAMPAGNE SPARKLE	Batteries Acoustiques	LEGACY CHAMPAGNE SPARKLE									Batteries Acoust.	Drums
01K097HX19KGKGC0Z47DK1JP0G	MAPEX - SATURN SIENNA BURST	Batteries Acoustiques	SATURN SIENNA BURST									Batteries Acoust.	Drums
01K097J08QVMWAWNB3E8E2H1XN	MAPEX - ORION COFFE BURST	Batteries Acoustiques	ORION COFFE BURST									Batteries Acoust.	Drums
01K097J3FBDY8V5W637KCSSN8S	OCDP - BLACK VYNIL CUSTOM	Batteries Acoustiques	BLACK VYNIL CUSTOM									Batteries Acoust.	Drums
01K097J6NYD9MC708Y3DNHT8ZV	PEARL  - MASTER PREMIUM LEGEND PIANO BLACK	Batteries Acoustiques	MASTER PREMIUM LEGEND PIANO BLACK									Batteries Acoust.	Drums
01K097J9TZBDP4ZM54AX13D182	PEARL  - MASTER PREMIUM BLACK MIST	Batteries Acoustiques	MASTER PREMIUM BLACK MIST									Batteries Acoust.	Drums
01K097JD21BTPSZF60AW49SPFS	PEARL  - MRX BLACK MIST	Batteries Acoustiques	MRX BLACK MIST									Batteries Acoust.	Drums
01K097JG6C6DPQR3JBAMHBBN7M	PEARL  - JAZZ SESSION PIANO BLACK	Batteries Acoustiques	JAZZ SESSION PIANO BLACK									Batteries Acoust.	Drums
01K097JKDBVQARA3QF446DM37C	PEARL  - EXR STRATAWHITE	Batteries Acoustiques	EXR STRATAWHITE									Batteries Acoust.	Drums
01K097JPKK600C7D8CME8XX4RV	PEARL - MBX WHITE MASTERS	Batteries Acoustiques	MBX WHITE MASTERS									Batteries Acoust.	Drums
01K097JSRTGJ7R9SMJ5Y73BHK5	SAKAE - TRILOGY VINTAGE CLUB OYSTER	Batteries Acoustiques	TRILOGY VINTAGE CLUB OYSTER									Batteries Acoust.	Drums
01K097JWYFTRZWHQ27RN0KV8RV	SLINGERLAND  - VINTAGE '79	Batteries Acoustiques	VINTAGE '79									Batteries Acoust.	Drums
01K097K04BEE6DS7W2FTJAHW7V	SLINGERLAND  - VINTAGE '90 JAZZ	Batteries Acoustiques	VINTAGE '90 JAZZ									Batteries Acoust.	Drums
01K097K39EN1VD616YY9A3TWZH	SONOR - ASCENT PIANO BLACK	Batteries Acoustiques	ASCENT PIANO BLACK									Batteries Acoust.	Drums
01K097K6F2740QFBSB79T0JW6Q	SONOR - S CLASSIX ROSEWOOD	Batteries Acoustiques	S CLASSIX ROSEWOOD									Batteries Acoust.	Drums
01K097K9MB49ZPDFZQS5JMBF52	SONOR  - DELITE PIANO BLACK	Batteries Acoustiques	DELITE PIANO BLACK									Batteries Acoust.	Drums
01K097KCT5Z72F2KMPHXD6X5V1	SONOR - SOUND DESIGNER	Batteries Acoustiques	SOUND DESIGNER									Batteries Acoust.	Drums
01K097KG07E81X1KW56T8B3SMP	TAMA - STARCLASSIC PERFORMER B/B CHARCOAL ONYX	Batteries Acoustiques	STARCLASSIC PERFORMER B/B CHARCOAL ONYX									Batteries Acoust.	Drums
01K097KK5HV7GTNK482YM7VQKP	TAMA - STARCLASSIC MAPLE PIANO BLACK	Batteries Acoustiques	STARCLASSIC MAPLE PIANO BLACK									Batteries Acoust.	Drums
