id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K097SBCM733TKCVYYM3TAA4X	"GRETSCH  - 6x14"" ROSEWOOD VINTAGE '70"	Caisses Claires	"6x14"" ROSEWOOD VINTAGE '70"									Caisses Claires	Drums
01K097NN79YDRW01A7CAP2AS5P	"C&C - 5x14"" ABALONE CUSTOM"	Caisses Claires	"5x14"" ABALONE CUSTOM"									Caisses Claires	Drums
01K097NRFEMK6JKM2E1ZFV8FB0	"CRAVIOTTO - 5x14""SOLID MAPLE-POPLAR-MAPLE"	Caisses Claires	"5x14""SOLID MAPLE-POPLAR-MAPLE"									Caisses Claires	Drums
01K097NVQ1SP926K3GYS1S4ZBE	"CRAVIOTTO - 5,5x14"""	Caisses Claires	"5,5x14"""									Caisses Claires	Drums
01K097NYYM4A37SVQD4Y1VBR67	"CRAVIOTTO - 6x14"" SOLID MAPLE"	Caisses Claires	"6x14"" SOLID MAPLE"									Caisses Claires	Drums
01K097P268B7MYW0MPCT970QP3	"DW - 6,5x14"" COLLECTOR'S STEEL STAINLESS"	Caisses Claires	"6,5x14"" COLLECTOR'S STEEL STAINLESS"									Caisses Claires	Drums
01K097P5ENR0AMV7YK50V4FM9F	"DW - 6x13"" COLLECTOR'S WOOD"	Caisses Claires	"6x13"" COLLECTOR'S WOOD"									Caisses Claires	Drums
01K097P8PCDJ42A4TQE2BJ40HH	"DW - 5,5x14"" COLLECTOR'S COPPER"	Caisses Claires	"5,5x14"" COLLECTOR'S COPPER"									Caisses Claires	Drums
01K097PC0KXFQ3N0CESJKRNWKP	"DW - 5,5x14"" COLLECTOR'S NATURAL SATIN VINTAGE '90"	Caisses Claires	"5,5x14"" COLLECTOR'S NATURAL SATIN VINTAGE '90"									Caisses Claires	Drums
01K097PF94RBVNKM6MWX4P0FM6	"DW - 5,5x14"" COLLECTOR'S BROCKEN GLASS"	Caisses Claires	"5,5x14"" COLLECTOR'S BROCKEN GLASS"									Caisses Claires	Drums
01K097PJGQZEM2NBEA0PJHVGHE	"DW  - 5,5x14"" CRAVIOTTO SOLID MAPLE"	Caisses Claires	"5,5x14"" CRAVIOTTO SOLID MAPLE"									Caisses Claires	Drums
01K097PNTV5CADM6FYV396KKZJ	"DW - 5x14"" COLLECTOR'S BLACK MIRRA"	Caisses Claires	"5x14"" COLLECTOR'S BLACK MIRRA"									Caisses Claires	Drums
01K097PS3TJBGNG9E8NS2T44R1	"DW - 5x14"" COLLECTOR'S OYSTER"	Caisses Claires	"5x14"" COLLECTOR'S OYSTER"									Caisses Claires	Drums
01K097PWBPHA3YRRWJ4X71FTFC	"DW - 5x13"" COLLECTOR'S BROCKEN GLASS"	Caisses Claires	"5x13"" COLLECTOR'S BROCKEN GLASS"									Caisses Claires	Drums
01K097PZKTSVDBEQ5Y8GZ2WRQH	"DW - 5x13"" COLLECTOR'S NATURAL SATIN VINTAGE '90"	Caisses Claires	"5x13"" COLLECTOR'S NATURAL SATIN VINTAGE '90"									Caisses Claires	Drums
01K097Q2X1YM25WSY5D271DV03	"DW - 4x14"" COLLECTOR'S BROCKEN GLASS"	Caisses Claires	"4x14"" COLLECTOR'S BROCKEN GLASS"									Caisses Claires	Drums
01K097Q66S2TGPX6G9XR46CX6G	"DW - 4x14"" COLLECTOR'S COPPER"	Caisses Claires	"4x14"" COLLECTOR'S COPPER"									Caisses Claires	Drums
01K097Q9FPJ6QFR2T73QVJP7VG	"GMS - 7x12"" CL NATURAL LACQUER MAPLE"	Caisses Claires	"7x12"" CL NATURAL LACQUER MAPLE"									Caisses Claires	Drums
01K097QCRS150N3QARPG1ECPYA	"GMS - 7x14"" SE RASPBERRY SPARKLE MAPLE"	Caisses Claires	"7x14"" SE RASPBERRY SPARKLE MAPLE"									Caisses Claires	Drums
01K097QG2KN9BSQARR9MZB9XKE	"GMS - 6,5x14"" 10TH ANNIVERSARY OAK"	Caisses Claires	"6,5x14"" 10TH ANNIVERSARY OAK"									Caisses Claires	Drums
01K097QKBAH23S0CTX3SF1BQVR	"GMS - 6x14"" NEW CL COPPER"	Caisses Claires	"6x14"" NEW CL COPPER"									Caisses Claires	Drums
01K097QPKN9A6PMMV1FXTJ0ZGY	"GMS  - 6x14"" 25TH ANNIVERSARY REVOLUTION"	Caisses Claires	"6x14"" 25TH ANNIVERSARY REVOLUTION"									Caisses Claires	Drums
01K097QSXJWE87GTP4CEJP11T1	"GMS  - 5,5x14"" NEW CL ACRYLIC"	Caisses Claires	"5,5x14"" NEW CL ACRYLIC"									Caisses Claires	Drums
01K097QX6V6YFXGBCATJ9YYAS6	"GMS  - 5x14"" SPECIAL EDITION ROSEWOOD"	Caisses Claires	"5x14"" SPECIAL EDITION ROSEWOOD"									Caisses Claires	Drums
01K097R0G110E3AHCEFDQ2B8Y2	"GMS  - 5x14"" 15TH ANNIVERSARY COPPER"	Caisses Claires	"5x14"" 15TH ANNIVERSARY COPPER"									Caisses Claires	Drums
01K097R3R8H4M3DFM9VMD1YQNK	"GMS - 6x13"" CL DOUBLE STRAINER NATURAL"	Caisses Claires	"6x13"" CL DOUBLE STRAINER NATURAL"									Caisses Claires	Drums
01K097R71N0XWY6F7TQ4JEXZ16	"GMS  - 5x10"" CL WHITE MARINE PEARL"	Caisses Claires	"5x10"" CL WHITE MARINE PEARL"									Caisses Claires	Drums
01K097RAAHYMSJ1M82KB784DN0	"GRETSCH  - 7x14"" NATURAL MAPLE"	Caisses Claires	"7x14"" NATURAL MAPLE"									Caisses Claires	Drums
01K097RDKEW1XBM2014YC6D8DN	"GRETSCH - 6,5x14"" SOLID ALUMINIUM"	Caisses Claires	"6,5x14"" SOLID ALUMINIUM"									Caisses Claires	Drums
01K097RGW6J0483K12T1HP3W6F	"GRETSCH - 6,5x14"" BELL BRASS"	Caisses Claires	"6,5x14"" BELL BRASS"									Caisses Claires	Drums
01K097RM6DBSGJZNHF2TJ18CQG	GRETSCH  - 6,5x14'' USA STD BLACK	Caisses Claires	6,5x14'' USA STD BLACK									Caisses Claires	Drums
01K097RQJM8BGM7N349JC4S3DH	"GRETSCH - 6,5x14"" DEEP BLK MARINE PEARL"	Caisses Claires	"6,5x14"" DEEP BLK MARINE PEARL"									Caisses Claires	Drums
01K097RTXF3EVP9VS2M4G69N9J	"GRETSCH - 6,5x14"" NATURAL LACQUER WOOD"	Caisses Claires	"6,5x14"" NATURAL LACQUER WOOD"									Caisses Claires	Drums
01K097RY7WRVXT1PRD4SYXCDTW	"GRETSCH  - 6,5x14"" BRASS HAMMERED BLACK"	Caisses Claires	"6,5x14"" BRASS HAMMERED BLACK"									Caisses Claires	Drums
01K097S1HDC1F7N6QA4PP0M4H2	"GRETSCH  - 6,5x14"" RENOWN BLACK METAL"	Caisses Claires	"6,5x14"" RENOWN BLACK METAL"									Caisses Claires	Drums
01K097S4TFM9TEFWABMFYDHGEH	"GRETSCH  - 6x14"" NEW CLASSIC JAZZ WHITE MARINE"	Caisses Claires	"6x14"" NEW CLASSIC JAZZ WHITE MARINE"									Caisses Claires	Drums
01K097S842MKR32ES6YAJ70E77	"GRETSCH  - 6x14"" NEW CLASSIC VINTAGE GLASS"	Caisses Claires	"6x14"" NEW CLASSIC VINTAGE GLASS"									Caisses Claires	Drums
