id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K099XSVBHRZ5WRTD4MC25V8P	PREMIER  - ELITE TIMBALES	Percussions Classiques	ELITE TIMBALES									Percussions Classiques	Drums
01K099XXYFVQ77XNQF57PZCGHH	MUSSER  - VIBRAPHONE M55	Percussions Classiques	VIBRAPHONE M55									Percussions Classiques	Drums
01K099Y20E51SYYSYJ8X10Q1AS	ADAMS - MARIMBA SOLIST VOYAGER	Percussions Classiques	MARIMBA SOLIST VOYAGER									Percussions Classiques	Drums
01K099Y62XFGEGMXDAH7FVQG8P	YAMAHA  - MARIMBA 5100A	Percussions Classiques	MARIMBA 5100A									Percussions Classiques	Drums
01K099YA48Z4PMCQM028XTZ74K	ADAMS - XYLOPHONE SOLIST VOYAGER	Percussions Classiques	XYLOPHONE SOLIST VOYAGER									Percussions Classiques	Drums
01K099YE89EKWH1GAV3D9D21AW	MUSSER - XYLOPHONE M47	Percussions Classiques	XYLOPHONE M47									Percussions Classiques	Drums
01K099YJADW9FYM0B96KJ0SZK5	ADAMS - GLOCKENSPIEL	Percussions Classiques	GLOCKENSPIEL									Percussions Classiques	Drums
01K099YPDFTNM2ZZ0BT227N6WT	YAMAHA  - GLOCKENSPIEL 1210	Percussions Classiques	GLOCKENSPIEL 1210									Percussions Classiques	Drums
01K099YTGE1N4DPSKWPXJHX7G3	"ADAMS - ORCHESTRAL DRUM 36"""	Percussions Classiques	"ORCHESTRAL DRUM 36"""									Percussions Classiques	Drums
01K099YYK5EQPF6WJ38CVTJGEG	"YAMAHA  - ORCHESTRAL DRUM 40"""	Percussions Classiques	"ORCHESTRAL DRUM 40"""									Percussions Classiques	Drums
01K099Z2P1WQHA9NE7K5DJYBN6	ADAMS/BERGERAULT -  TUBULAR BELLS	Percussions Classiques	TUBULAR BELLS									Percussions Classiques	Drums
01K099Z6SM3116NXD270NMZZJN	"PAISTE - TAM-GONG 24"""	Percussions Classiques	"TAM-GONG 24"""									Percussions Classiques	Drums
01K099ZAXZTSWH0B5YR1XQNV89	ZILDJIAN  - SYMPHONIC VIENNESE	Percussions Classiques	SYMPHONIC VIENNESE									Percussions Classiques	Drums
