id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K099QFAVRBNQ11153580EJ44	LP - CONGA CLASSIC WOOD	Percussions Latines	CONGA CLASSIC WOOD									Percussions Latines	Drums
01K099PV8NR49K65E4TY0Q8410	LP - BONGOS GALAXY NATURAL	Percussions Latines	BONGOS GALAXY NATURAL									Percussions Latines	Drums
01K099PZ8MTVGR93JY2X366T05	LP - BONGOS NATURAL GII	Percussions Latines	BONGOS NATURAL GII									Percussions Latines	Drums
01K099Q3A5BBMEP6WR6MD7VGGQ	LP - BONGOS GALAXY FIBRE	Percussions Latines	BONGOS GALAXY FIBRE									Percussions Latines	Drums
01K099Q7APPJCT2VBKD2ZE6QXK	LP - BONGOS 40TH ANNIVERSARY	Percussions Latines	BONGOS 40TH ANNIVERSARY									Percussions Latines	Drums
01K099QBB2B7KSQZMJ80BE9RXZ	LP - BONGOS FIBERGLASS	Percussions Latines	BONGOS FIBERGLASS									Percussions Latines	Drums
01K099QKATV5QGN11A9VHHC2K8	LP - CONGAS WOOD GALAXY GIOVANNI	Percussions Latines	CONGAS WOOD GALAXY GIOVANNI									Percussions Latines	Drums
01K099QQBNTS3APHT5WCEG1VSJ	LP - CONGAS PATATO FIBER BLACK	Percussions Latines	CONGAS PATATO FIBER BLACK									Percussions Latines	Drums
01K099QVBCMZBXRGWCFXWWJ33W	LP - CONGAS PATATO FIBER WHITE	Percussions Latines	CONGAS PATATO FIBER WHITE									Percussions Latines	Drums
01K099QZBYA3RN0XQJPVBEKFYR	LP - CONGAS WOOD 40TH ANNIVERSARY	Percussions Latines	CONGAS WOOD 40TH ANNIVERSARY									Percussions Latines	Drums
01K099R3AZZGDY6ZMBQAHFK332	LP  - TIMBALES TITO PUENTE BRASS 14&15	Percussions Latines	TIMBALES TITO PUENTE BRASS 14&15									Percussions Latines	Drums
01K099R7AVH5WPZDFBC1JJ053Z	LP - TIMBALES TITO PUENTE STEEL 14&15	Percussions Latines	TIMBALES TITO PUENTE STEEL 14&15									Percussions Latines	Drums
01K099RB9WNH5KG41QXRPPFTRS	LP  - TIMBALES TITO PUENTE BRASS 13&14	Percussions Latines	TIMBALES TITO PUENTE BRASS 13&14									Percussions Latines	Drums
01K099RFCZBG55YKFA3Z1JGRZ0	LP - TIMBALITOS	Percussions Latines	TIMBALITOS									Percussions Latines	Drums
01K099RKBTANHK6E87DJ1BKREW	LP - CUBAN CAJON	Percussions Latines	CUBAN CAJON									Percussions Latines	Drums
01K099RQC8XFWHWFPCCR83H7AZ	LP - CAJON SOUL CORTES	Percussions Latines	CAJON SOUL CORTES									Percussions Latines	Drums
01K099RVC0BHEATX1Y8X6A9ARH	LP  - CAJON KEVIN RICARD	Percussions Latines	CAJON KEVIN RICARD									Percussions Latines	Drums
