id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K096Z4ENBP543HQN10R0N1ZG	BLACKSTAR - ONE 412 SLANT	Cabinet Guitare	ONE 412 SLANT	"<p>Baffle guitare 4x12"" slant d&eacute;velopp&eacute; depuis 2007 comme extension des t&ecirc;tes Series One haute gain. Construction contreplaqu&eacute; bouleau 18 mm &agrave; assemblage digital finger-jointed pour rigidit&eacute; optimale. Configuration slant classique avec haut-parleurs sup&eacute;rieurs inclin&eacute;s vers l'avant pour projection directionnelle. Quatre haut-parleurs Celestion Vintage 30 custom sp&eacute;cialement d&eacute;velopp&eacute;s pour Blackstar avec voicing exclusif. Baffle construction sp&eacute;ciale &eacute;quilibrant la r&eacute;ponse m&eacute;diums pour &eacute;viter surcharge &agrave; fort gain. C&acirc;blage heavy gauge wire pour transmission signal optimis&eacute;e. Configuration mono 4/16 ohms ou st&eacute;r&eacute;o 2x8 ohms commutable. Poign&eacute;es lat&eacute;rales encastr&eacute;es ergonomiques. Format standard ""1960A"" Marshall-compatible.</p>"	899	75.6	75.5	83.7	49.0	"[{""key"":""Haut-parleurs"",""value"":""4x 12\"" Celestion Vintage 30 (custom voicing exclusif Blackstar)""},{""key"":""Puissance"",""value"":""240 W RMS""},{""key"":""Imp\u00e9dance"",""value"":""Commutable mono 4\u03a9\/16\u03a9 \/ st\u00e9r\u00e9o 2x8\u03a9""},{""key"":""Type de construction"",""value"":""Slant closed-back cabinet""},{""key"":""Mat\u00e9riau"",""value"":""Contreplaqu\u00e9 bouleau 18 mm finger-jointed""},{""key"":""Baffle"",""value"":""Construction sp\u00e9ciale pour \u00e9quilibrage m\u00e9diums""},{""key"":""C\u00e2blage"",""value"":""Heavy gauge wire""},{""key"":""Connectique"",""value"":""4x Jack 6,35 mm""},{""key"":""Finition"",""value"":""Black tolex, grille tissu anthracite""},{""key"":""Poign\u00e9es"",""value"":""Lat\u00e9rales encastr\u00e9es ergonomiques""},{""key"":""Fabrication"",""value"":""Cor\u00e9e""}]"		Baffles Guitare	Guitars
01K096Z7E2BN2TXHC73EB02C27	BLACKSTAR - ONE 412 STRAIGHT	Cabinet Guitare	ONE 412 STRAIGHT	"<p>Baffle guitare 4x12"" straight d&eacute;velopp&eacute; depuis 2007 comme extension des t&ecirc;tes Series One haute gain. Construction contreplaqu&eacute; bouleau 18 mm &agrave; assemblage digital finger-jointed pour rigidit&eacute; optimale. Quatre haut-parleurs Celestion Vintage 30 custom sp&eacute;cialement d&eacute;velopp&eacute;s pour Blackstar avec voicing exclusif. Baffle construction sp&eacute;ciale &eacute;quilibrant la r&eacute;ponse m&eacute;diums. C&acirc;blage heavy gauge wire pour transmission signal optimis&eacute;e. Configuration mono 8 ohms ou st&eacute;r&eacute;o 2x16 ohms commutable. Poign&eacute;es lat&eacute;rales encastr&eacute;es pour transport. Grille tissu anthracite r&eacute;sistante. Format standard '1960' pour compatibilit&eacute; universelle t&ecirc;tes haute gain.</p>"	899	35.6	83.7	75.5	49.0	"[{""key"":""Haut-parleurs"",""value"":""4x 12\"" Celestion Vintage 30 (custom voicing exclusif Blackstar)""},{""key"":""Puissance"",""value"":""240 W RMS""},{""key"":""Imp\u00e9dance"",""value"":""Commutable mono 8\u03a9 \/ st\u00e9r\u00e9o 2x16\u03a9""},{""key"":""Type de construction"",""value"":""Straight closed-back cabinet""},{""key"":""Mat\u00e9riau"",""value"":""Contreplaqu\u00e9 bouleau 18 mm finger-jointed""},{""key"":""Baffle"",""value"":""Construction sp\u00e9ciale pour \u00e9quilibrage m\u00e9diums""},{""key"":""C\u00e2blage"",""value"":""Heavy gauge wire""},{""key"":""Connectique"",""value"":""2x Jack 6,35 mm st\u00e9r\u00e9o\/mono""},{""key"":""Finition"",""value"":""Black tolex, grille tissu anthracite""},{""key"":""Poign\u00e9es"",""value"":""Lat\u00e9rales encastr\u00e9es ergonomiques""},{""key"":""Fabrication"",""value"":""Cor\u00e9e""}]"		Baffles Guitare	Guitars
01K096ZADNZB5AJTK430E3A8VN	ENGL - 412	Cabinet Guitare	412									Baffles Guitare	Guitars
01K096ZDE620XZQ19S5XMNFP48	EVH - 5150III 412	Cabinet Guitare	5150III 412									Baffles Guitare	Guitars
01K096ZGFEV2GR2THED4HNG25K	FENDER - SUPERSONIC 212	Cabinet Guitare	SUPERSONIC 212									Baffles Guitare	Guitars
01K096ZKG7N04AYH9CYR4NZ0Q9	HIWATT - 412 FANE	Cabinet Guitare	412 FANE									Baffles Guitare	Guitars
01K096ZPK9WV158AAHHQJK88HQ	HUGHES & KETTNER - 412	Cabinet Guitare	412									Baffles Guitare	Guitars
01K096ZSM264XXFT8GMSBKRKBD	MARSHALL - 1960A	Cabinet Guitare	1960A									Baffles Guitare	Guitars
01K096ZWNJMF0TAWDM4MEQ28AX	MARSHALL - 1960B	Cabinet Guitare	1960B									Baffles Guitare	Guitars
01K096ZZQGRQCSG6F3PM7SGQ6T	MARSHALL  - 1960AHW	Cabinet Guitare	1960AHW									Baffles Guitare	Guitars
01K09702RNK2Z446HH4KQ683AN	MESA BOOGIE  - LONESTAR 212 CABINET	Cabinet Guitare	LONESTAR 212 CABINET									Baffles Guitare	Guitars
01K09705SQPQQRM27QVZ3XWKF6	MESA BOOGIE  - VINTAGE CELESTION 412 SLANT	Cabinet Guitare	VINTAGE CELESTION 412 SLANT									Baffles Guitare	Guitars
01K09708TAAMN27MT9FFC08WSD	MESA BOOGIE  - VINTAGE CELESTION 412 STRAIGHT	Cabinet Guitare	VINTAGE CELESTION 412 STRAIGHT									Baffles Guitare	Guitars
01K0970BTQRJBZWYZSTSVT8XQR	MESA BOOGIE  - 212  CELESTION/EV	Cabinet Guitare	212  CELESTION/EV									Baffles Guitare	Guitars
01K0970EX7TR6TG2KTGYVSZT4V	ORANGE  - 412 PPC	Cabinet Guitare	412 PPC									Baffles Guitare	Guitars
01K0970HYFF3MZ37QFHTVGJ5SC	DV MARK  - C-412 CABINET	Cabinet Guitare	C-412 CABINET									Baffles Guitare	Guitars
01K42RZ39MAEE4996ZXH3KHADM	ORANGE 412 PPC vintage	Baffles Guitare	ORANGE 412 PPC vintage	"<p>Le PPC412 est une enceinte 4&times;12&Prime; &agrave; fa&ccedil;ade droite, reconnue pour sa puissance et sa pr&eacute;cision sonore, id&eacute;ale pour les prestations sc&eacute;niques. Sa construction en contreplaqu&eacute; de bouleau baltique haute densit&eacute; (13 plis, 18 mm) et ses ferrures en acier lui assurent une excellente r&eacute;sistance aux d&eacute;placements et &agrave; l&rsquo;utilisation intensive en tourn&eacute;e. Les pieds antid&eacute;rapants am&eacute;liorent le couplage acoustique avec la sc&egrave;ne, optimisant la r&eacute;ponse des basses. &Eacute;quip&eacute; de quatre haut-parleurs Celestion Vintage 30 dans une coque ferm&eacute;e, il d&eacute;livre un son concentr&eacute;, avec des m&eacute;diums chaleureux et une grande fiabilit&eacute;, parfaitement adapt&eacute; aux besoins des musiciens professionnels.</p>
<p>manuel : https://orangeamps.com/fr/manuels/#speakercabs</p>"	590	77.0	74.0	36.5	45.3	"[{""key"":""Ann\u00e9e"",""value"":""2010's""},{""key"":""Haut-parleurs"",""value"":""4 x 12 Celestion Vintage 30""},{""key"":""Puissance support\u00e9e"",""value"":""240 Watts (Mono)""},{""key"":""Imp\u00e9dance"",""value"":""16 ohms""},{""key"":""Construction"",""value"":""contreplaqu\u00e9 de bouleau baltique haute densit\u00e9 de 18 mm""},{""key"":""c\u00e2blage"",""value"":""2 prises d\u2019entr\u00e9e \u00bc parall\u00e8les pour le cha\u00eenage en cascade avec un autre baffle de 16 Ohms (charge totale = 8 Ohms)""}]"		Baffles Guitare	Guitars
