id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K096PVGGET73KAQK360W9R66	FENDER - BLUES JUNIOR III	Combo Guitare	BLUES JUNIOR III									Combo Guitare	Guitars
01K096PDAFJF69PKMBSC3Z5QFK	AER - COMPACT 60	Combo Guitare	COMPACT 60	"<p>Combo acoustique 2 canaux d&eacute;velopp&eacute; depuis 1992, r&eacute;f&eacute;rence incontournable en amplification d'instruments &eacute;lectro-acoustiques. Haut-parleur 8"" twin-cone full-range d&eacute;livrant 60 W dans un format ultra-compact. Chaque canal dispose de son &eacute;galiseur ind&eacute;pendant : 3 bandes pour le canal 1 (avec filtre couleur), 2 bandes pour le canal 2. Alimentation phantom 48 V sur canal 2 pour microphones condensateur. 4 effets num&eacute;riques int&eacute;gr&eacute;s (2 reverbs, delay, chorus) avec s&eacute;lection et dosage. Connectique compl&egrave;te : line out, DI XLR pre/post EQ, boucle d'effets, sortie tuner, casque. Fixation sur pied microphone ou pied d'enceinte via adaptateur. Construction contreplaqu&eacute; bouleau 12 mm, finition spatter noir ou acajou massif. Housse incluse.</p>"	683	32.5	26.0	23.5	6.5	"[{""key"":""Puissance"",""value"":""60 W RMS @ 4 ohms, contr\u00f4le dynamique int\u00e9gr\u00e9""},{""key"":""Haut-parleur"",""value"":""1\u00d7 8\"" (200 mm) twin-cone full-range""},{""key"":""R\u00e9ponse fr\u00e9quentielle"",""value"":""60 Hz - 18 kHz""},{""key"":""Canal 1"",""value"":""Jack 6,35 mm, pad Hi\/Lo (-10 dB), gain, filtre couleur, EQ 3 bandes, phantom 9 V""},{""key"":""Canal 2"",""value"":""Combo XLR\/Jack, commutateur Mic\/Line, gain, EQ 2 bandes, phantom 48 V""},{""key"":""Entr\u00e9e auxiliaire"",""value"":""Mini-jack 3,5 mm st\u00e9r\u00e9o avec niveau""},{""key"":""Effets"",""value"":""4 presets num\u00e9riques (Reverb 1, Reverb 2, Delay, Chorus)""},{""key"":""Sorties"",""value"":""Line out, DI XLR (pre\/post EQ), tuner out, casque st\u00e9r\u00e9o""},{""key"":""Boucle d'effets"",""value"":""Send\/Return 6,35 mm""},{""key"":""Alimentation"",""value"":""100-240 V AC, 50-60 Hz, consommation max 120 W""}]"		Combo Guitare	Guitars
01K096PG6TFPGTS5KF3CZE2J9K	AER  - DOMINO	Combo Guitare	DOMINO	<p>Combo acoustique 4 canaux offrant 2 &times; 60 W dans un format compact. Chaque canal propose un &eacute;galiseur 3 bandes et un filtre de couleur. Les canaux 1 et 4 sont adapt&eacute;s aux micros ou pi&eacute;zos, les canaux 2 et 3 acceptent ligne ou XLR, avec alimentation 48 V. Processeur d&rsquo;effets num&eacute;rique 32 bits (16 presets) assignable par canal. Sorties DI, pr&eacute;-master, insert, casques et tuning. Coque en contreplaqu&eacute; bouleau 15 mm, rev&ecirc;tement spatter noir, grille acier, housse incluse. Pl&eacute;biscit&eacute; pour la reproduction fid&egrave;le d&rsquo;instruments acoustiques et la facilit&eacute; d&rsquo;installation en location ou en prestation.</p>	650	41.5	29.0	36.0	12.8	"[{""key"":""Canaux"",""value"":""4 (2 combos XLR\/jack, 2 jacks instrument)""},{""key"":""Puissance"",""value"":""2 \u00d7 60 W RMS""},{""key"":""Haut-parleurs"",""value"":""2 \u00d7 8\u2033 twin-cone""},{""key"":""Tweeter"",""value"":""1\u2033 pi\u00e9zo""},{""key"":""\u00c9galiseur"",""value"":""3 bandes (per canal) + filtre couleur""},{""key"":""Effets"",""value"":""32 bits, 16 presets, 2 effets simultan\u00e9s""},{""key"":""Connectique"",""value"":""Insert L\/R, pr\u00e9-master, rec out, tuner, casque, footswitch""},{""key"":""Alimentation phantom"",""value"":""48 V commutable (canaux 1 & 2)""},{""key"":""Ch\u00e2ssis"",""value"":""Contreplaqu\u00e9 bouleau 15 mm""},{""key"":""Finition"",""value"":""Spatter noir""}]"		Combo Guitare	Guitars
01K096PK1G5EX4G3GQZN89HS0W	AMPEG  - JET 12 '90 VINTAGE	Combo Guitare	JET 12 '90 VINTAGE	"<p>Combo guitare &agrave; lampes 15 W produit de 1995 &agrave; 1998, r&eacute;&eacute;dition moderne du l&eacute;gendaire Jet original des ann&eacute;es 1960. Circuit tout lampes avec pr&eacute;ampli 2x 12AX7 et &eacute;tage de puissance 2x EL84 classe A dans un format compact 1x12"". Contr&ocirc;les simplifi&eacute;s : volume, tone (&plusmn;30 dB @ 4 kHz), tremolo speed et intensity, reverb &agrave; ressort. Double entr&eacute;e guitare/accord&eacute;on. Haut-parleur 12"" Eminence 20 W, 8 ohms. Construction contreplaqu&eacute; avec rev&ecirc;tement Blue Diamond Tolex caract&eacute;ristique. Tremolo &agrave; tubes et reverb analogique offrant la signature sonore Ampeg : m&eacute;diums riches, saturation naturelle progressive, excellent sustain. Id&eacute;al pour enregistrement, r&eacute;p&eacute;titions et petites salles. Tube rectificateur 5Y3 sur versions ant&eacute;rieures, redressement silicium sur versions tardives.</p>"	550	47.6	22.9	35.6	15.0	"[{""key"":""Puissance"",""value"":""15 W RMS @ 5% THD (8 ohms)""},{""key"":""Tubes pr\u00e9ampli"",""value"":""2x 12AX7A""},{""key"":""Tubes puissance"",""value"":""2x EL84""},{""key"":""Haut-parleur"",""value"":""1x 12\"" Eminence (20 W, 8 ohms, bobine 1\"")""},{""key"":""Contr\u00f4les"",""value"":""Volume, Tone (\u00b130 dB @ 4 kHz), Tremolo Speed\/Intensity, Reverb""},{""key"":""Entr\u00e9es"",""value"":""2 (Guitar\/Accordion)""},{""key"":""Effets int\u00e9gr\u00e9s"",""value"":""Tremolo \u00e0 tubes, reverb \u00e0 ressort""},{""key"":""Rapport signal\/bruit"",""value"":""70 dB typique""},{""key"":""Gain total"",""value"":""62 dB""},{""key"":""Alimentation"",""value"":""120 V AC, 60 Hz, 80 VA (versions export disponibles)""},{""key"":""Finition"",""value"":""Blue Diamond Tolex, grille tissu vintage""},{""key"":""Ann\u00e9es"",""value"":""1995-1998""}]"		Combo Guitare	Guitars
01K096PNWBRVG7R5KZ2Y212RXD	FENDER  - ACOUSTIC 200	Combo Guitare	ACOUSTIC 200									Combo Guitare	Guitars
01K096PRPZBSST045N2WVSJBGN	FENDER  - 59 BASSMAN	Combo Guitare	BASSMAN '59 RI									Combo Guitare	Guitars
01K096PYAJ95V867MQT16KPEBP	FENDER  - BLUES JUNIOR	Combo Guitare	BLUES JUNIOR									Combo Guitare	Guitars
01K096Q152SW4A0VWADYQSPEJR	FENDER  - BLUES DELUXE	Combo Guitare	BLUES DELUXE REISSUE									Combo Guitare	Guitars
01K096Q3ZEM4TA57PNGJKDH2NX	FENDER  - BLUES DEVILLE REISSUE	Combo Guitare	BLUES DEVILLE REISSUE									Combo Guitare	Guitars
01K096Q6V7KEWPPY71VQKHWAMP	FENDER  - BLUES DEVILLE '90 VINTAGE	Combo Guitare	BLUES DEVILLE '90 VINTAGE									Combo Guitare	Guitars
