id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K0970TTAFCAMHQSWCMDR378D	ARBITER - FUZZ FACE	Pédales Guitare	FUZZ FACE	"<p>P&eacute;dale de distorsion fuzz d&eacute;velopp&eacute;e en 1966 par Arbiter Electronics &agrave; Londres, devenue l'une des r&eacute;f&eacute;rences absolues de l'effet fuzz apr&egrave;s adoption par Jimi Hendrix d&egrave;s novembre 1966. Circuit simple utilisant seulement 11 composants : 2 transistors, 4 r&eacute;sistances, 3 condensateurs et 2 potentiom&egrave;tres. Les premi&egrave;res versions (1966-1967) utilisent des transistors germanium NKT275 Red Dot de Newmarket Transistors Ltd, offrant un son chaud avec compression naturelle et cleanup au volume guitare. &Agrave; partir de 1968-1969, passage aux transistors silicium BC108/BC109 pour stabilit&eacute; thermique et co&ucirc;t r&eacute;duit. Bo&icirc;tier rond coul&eacute; aluminium inspir&eacute; d'un pied de pied de micro selon Ivor Arbiter. Production instable n&eacute;cessitant s&eacute;lection transistors - Denis Cornell t&eacute;moigne : ""chaque unit&eacute; avait des niveaux de sortie diff&eacute;rents"". Marquage &eacute;voluant de ""Arbiter-England"" (1966-1967) &agrave; ""Dallas-Arbiter-England"" apr&egrave;s fusion en 1968.</p>"	7761	17.8	6.4		0.8	"[{""key"":""Circuit"",""value"":""2 \u00e9tages transistors PNP (germanium) ou NPN (silicium)""},{""key"":""Transistors 1966-1967"",""value"":""NKT275 Red Dot germanium (Newmarket)""},{""key"":""Transistors 1968+"",""value"":""BC108, BC109, BC183L silicium""},{""key"":""Contr\u00f4les"",""value"":""Volume, Fuzz""},{""key"":""Impedance entr\u00e9e"",""value"":""10 k\u03a9 (interaction volume guitare)""},{""key"":""Alimentation"",""value"":""9V batterie (PP3)""},{""key"":""Consommation"",""value"":""2-5 mA typique""},{""key"":""Connectique"",""value"":""Jack 6,35 mm mono (In\/Out)""},{""key"":""Bo\u00eetier"",""value"":""Aluminium coul\u00e9 rond""},{""key"":""Finitions"",""value"":""Gris martel\u00e9, rouge, bleu (selon p\u00e9riodes)""},{""key"":""Ann\u00e9es production"",""value"":""1966-1975 (UK)""}]"		Pédales Guitare	Guitars
01K0970XVSJMZKYW5CNSZWMN80	BOSS - DD-7 DIGITAL DELAY	Pédales Guitare	DD-7 DIGITAL DELAY	<p>P&eacute;dale de delay num&eacute;rique d&eacute;velopp&eacute;e de 2007 &agrave; 2019, &eacute;volution du DD-6 avec temps de retard &eacute;tendu jusqu'&agrave; 6,4 secondes. 8 modes de delay : 50ms, 200ms, 800ms et 3200ms (temps fixes), Analog (mod&eacute;lisation DM-2), Modulate (chorus int&eacute;gr&eacute;), Reverse et Hold (looper 40 secondes). Mode Analog reproduit fid&egrave;lement le l&eacute;gendaire BOSS DM-2 avec compression et chaleur caract&eacute;ristiques. Mode Hold permet enregistrement sound-on-sound jusqu'&agrave; 40 secondes. Contr&ocirc;le external via footswitch optionnel pour tap tempo ou p&eacute;dale d'expression pour modification temps r&eacute;el des param&egrave;tres. Sorties st&eacute;r&eacute;o pour effets spatiaux ou s&eacute;paration dry/wet. Bypass buffered, alimentation 9V DC ou pile. Ch&acirc;ssis acier BOSS standard avec LED check multifonction (tempo, hold, batterie faible).</p>	109	12.9	5.9	7.9	0.44	"[{""key"":""Modes"",""value"":""8 (50ms, 200ms, 800ms, 3200ms, Analog, Modulate, Reverse, Hold)""},{""key"":""Temps delay"",""value"":""6,4 secondes maximum""},{""key"":""Temps Hold"",""value"":""40 secondes maximum""},{""key"":""Contr\u00f4les"",""value"":""E.Level, F.Back, D.Time, Mode""},{""key"":""Connectique"",""value"":""Input, Output L\/Mono, Output R, EXT jack (tap\/expression)""},{""key"":""Bypass"",""value"":""Buffered""},{""key"":""Alimentation"",""value"":""9V DC (PSA series) ou pile 9V (6F22)""},{""key"":""Consommation"",""value"":""55 mA""},{""key"":""Ann\u00e9es production"",""value"":""2007-2019""}]"		Pédales Guitare	Guitars
01K09710WSCGQ0DNKS2PJADGWN	BOSS - FS-5L FOOT SWITCH	Pédales Guitare	FS-5L FOOT SWITCH									Pédales Guitare	Guitars
01K09713Y57YFWGSW2DZM11KWJ	BOSS - FV-500 H VOLUME MONO	Pédales Guitare	FV-500 H VOLUME MONO									Pédales Guitare	Guitars
01K09716ZXV9X3KZQAYNWS7VDR	BOSS - FV-500 L VOLUME STEREO	Pédales Guitare	FV-500 L VOLUME STEREO									Pédales Guitare	Guitars
01K0971A0XE5VR0ZYDQFW98ZBH	BOSS - LS-2 LINE SELECTOR	Pédales Guitare	LS-2 LINE SELECTOR									Pédales Guitare	Guitars
01K0971D3CKQNCK8C5PKHK03AQ	BOSS - OS-2 OVERDRIVE DISTORTION	Pédales Guitare	OS-2 OVERDRIVE DISTORTION									Pédales Guitare	Guitars
01K0971G55YTGPV33KQN7N1HVP	BOSS - RE-20 SPACE ECHO	Pédales Guitare	RE-20 SPACE ECHO									Pédales Guitare	Guitars
01K0971K7PHHM6W5JD1NC434V0	BOSS - RT-20 ROTARY ENSEMBLE	Pédales Guitare	RT-20 ROTARY ENSEMBLE									Pédales Guitare	Guitars
01K0971P9EBNGFF5Q7JZSKZXB4	BOSS - TR-2 TREMOLO	Pédales Guitare	TR-2 TREMOLO									Pédales Guitare	Guitars
