id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K096W6ZAFC2VKD13R5R6GB4R	BLACKSTAR - ONE 1046L6	Tête Guitare	ONE 1046L6	<p>T&ecirc;te guitare tout lampes 100 W d&eacute;velopp&eacute;e de 2007 &agrave; 2021, version 6L6 de la s&eacute;rie Series One optimis&eacute;e pour sonorit&eacute;s am&eacute;ricaines haute gain. Circuit 4 canaux (6 modes) avec contr&ocirc;le ISF brevet&eacute; permettant transition continue entre signature am&eacute;ricaine (CCW) et britannique (CW). Syst&egrave;me DPR brevet&eacute; r&eacute;duisant la puissance de 100 W &agrave; 10 W sans perte tonale ni d&eacute;gradation tube. Pr&eacute;ampli 4x ECC83 + 1x ECC82 phase inverter, puissance 4x 6L6GC classe AB pour dynamique &eacute;tendue et headroom am&eacute;ricain. Canal Clean avec modes Warm (Plexi) et Bright (Class A). Canal Crunch avec modes standard et Super Crunch. Deux canaux Overdrive avec att&eacute;nuation haute/basse. Double section tonale ISF. Transformateurs secteur et sortie surdimensionn&eacute;s pour stabilit&eacute; sous charge. Ch&acirc;ssis acier soud&eacute; avec circuits imprim&eacute;s double face plaqu&eacute;s. Tubes puissance c&acirc;bl&eacute;s main avec gaine n&eacute;opr&egrave;ne haute tension.</p>	1499	70.5	27.9	28.5	27.2	"[{""key"":""Puissance"",""value"":""100 W RMS (r\u00e9ductible \u00e0 10 W via DPR)""},{""key"":""Tubes pr\u00e9ampli"",""value"":""4x ECC83, 1x ECC82 (phase inverter)""},{""key"":""Tubes puissance"",""value"":""4x 6L6GC classe AB""},{""key"":""Canaux"",""value"":""4 (Clean, Crunch, Overdrive 1, Overdrive 2)""},{""key"":""Modes"",""value"":""6 total (Clean Warm\/Bright, Crunch\/Super Crunch, OD1, OD2)""},{""key"":""Contr\u00f4les"",""value"":""Gain\/Volume par canal, Bass\/Middle\/Treble \u00d72, ISF \u00d72, Resonance, Presence, Master""},{""key"":""ISF"",""value"":""Contr\u00f4le brevet\u00e9 signature am\u00e9ricaine \u2194 britannique""},{""key"":""Boucle effets"",""value"":""S\u00e9rie, commutable +4dBV\/-10dBV""},{""key"":""MIDI"",""value"":""In\/Out, 128 program changes""},{""key"":""Sorties"",""value"":""\u00c9mul\u00e9e haut-parleur DI, speaker out 4\/8\/16\u03a9""},{""key"":""Footswitch"",""value"":""5 boutons inclus (FS-10)""},{""key"":""Fabrication"",""value"":""Cor\u00e9e""}]"		Tête Guitare	Guitars
01K096W9YK0FQVNB0ZZCNHNAMQ	BLACKSTAR - ONE 104EL34	Tête Guitare	ONE 104EL34	<p>T&ecirc;te guitare tout lampes 100 W d&eacute;velopp&eacute;e de 2007 &agrave; 2021, r&eacute;f&eacute;rence de la s&eacute;rie Series One haute gain. Circuit 4 canaux (6 modes) avec contr&ocirc;le ISF brevet&eacute; permettant transition continue entre signature am&eacute;ricaine (CCW) et britannique (CW). Syst&egrave;me DPR brevet&eacute; r&eacute;duisant la puissance de 100 W &agrave; 10 W sans perte tonale ni d&eacute;gradation tube. Pr&eacute;ampli 4x ECC83 + 1x ECC82 phase inverter, puissance 4x EL34 classe AB. Canal Clean avec modes Warm (Plexi) et Bright (Class A). Canal Crunch avec modes standard et Super Crunch. Deux canaux Overdrive avec att&eacute;nuation haute/basse. Double section tonale ISF. Boucle d'effets s&eacute;rie commutable +4dBV/-10dBV. Commutation MIDI 128 program changes. Sortie &eacute;mul&eacute;e haut-parleur DI. Footswitch 5 boutons inclus. Construction ch&acirc;ssis acier soud&eacute; 1,6 mm, circuits imprim&eacute;s double face plaqu&eacute;s. Transformateurs secteur et sortie surdimensionn&eacute;s.</p>	1399	70.5	27.9	28.5	27.2	"[{""key"":""Puissance"",""value"":""100 W RMS (r\u00e9ductible \u00e0 10 W via DPR)""},{""key"":""Tubes pr\u00e9ampli"",""value"":""4x ECC83, 1x ECC82 (phase inverter)""},{""key"":""Tubes puissance"",""value"":""4x EL34 classe AB""},{""key"":""Canaux"",""value"":""4 (Clean, Crunch, Overdrive 1, Overdrive 2)""},{""key"":""Modes"",""value"":""6 total (Clean Warm\/Bright, Crunch\/Super Crunch, OD1, OD2)""},{""key"":""Contr\u00f4les"",""value"":""Gain\/Volume par canal, Bass\/Middle\/Treble \u00d72, ISF \u00d72, Resonance, Presence, Master""},{""key"":""ISF"",""value"":""Contr\u00f4le brevet\u00e9 signature am\u00e9ricaine \u2194 britannique""},{""key"":""Boucle effets"",""value"":""S\u00e9rie, commutable +4dBV\/-10dBV""},{""key"":""MIDI"",""value"":""In\/Out, 128 program changes""},{""key"":""Sorties"",""value"":""\u00c9mul\u00e9e haut-parleur DI, speaker out 4\/8\/16\u03a9""},{""key"":""Footswitch"",""value"":""5 boutons inclus (FS-10)""},{""key"":""Fabrication"",""value"":""Cor\u00e9e""}]"		Tête Guitare	Guitars
01K096WCW7B6Y3VAGCV98ABASK	DV MARK - DV MARK MICRO 50	Tête Guitare	DV MARK MICRO 50									Tête Guitare	Guitars
01K096WFVBW91W3SDYV28T601S	ENGL - POWERBALL II	Tête Guitare	POWERBALL II									Tête Guitare	Guitars
01K096WJSEY5PNKC4SGF3YN59C	EVH - 5150III	Tête Guitare	5150III									Tête Guitare	Guitars
01K096WNR7048PNPB3KYEKG7VX	FENDER  - SUPERSONIC 100	Tête Guitare	SUPERSONIC 100									Tête Guitare	Guitars
01K096WRQYGCFK3T6QS5R5JS7M	FRACTAL AUDIO - AXE FXIII MK2	Tête Guitare	AXE FXIII MK2									Tête Guitare	Guitars
01K096WVPD0SBB2FVTSQ17FKYJ	HIWATT - CUSTOM 50	Tête Guitare	CUSTOM 50									Tête Guitare	Guitars
01K096WYMT5G1B334Y7BH5W03X	HIWATT - CUSTOM 100SAP	Tête Guitare	CUSTOM 100SAP									Tête Guitare	Guitars
01K096X1M0GC874JQTWK9MBB82	HIWATT - CUSTOM 100 VINTAGE	Tête Guitare	CUSTOM 100 VINTAGE									Tête Guitare	Guitars
01K096X4J5QJRN758CBHVJDFBR	HUGHES & KETTNER - DUOTONE 100	Tête Guitare	DUOTONE 100									Tête Guitare	Guitars
01K096X7JEJXWFGJQ5722TN1ST	KEMPER - PROFILING AMP POWERRACK w/REMOTE	Tête Guitare	PROFILING AMP POWERRACK w/REMOTE									Tête Guitare	Guitars
01K096XAHR4QZHP0WXZ2ARV8P6	MARSHALL  - JCM800 2203	Tête Guitare	JCM800 2203									Tête Guitare	Guitars
01K096XDFMB2KDAZCYKEQPXR7D	MARSHALL  - JCM800 2210 DUAL GAIN	Tête Guitare	JCM800 2210 DUAL GAIN									Tête Guitare	Guitars
01K096XGEJ720GEEFCA3X1EP6X	MARSHALL  - JCM900 4100	Tête Guitare	JCM900 4100									Tête Guitare	Guitars
01K096XKERQE3FGKY3K9WX8XCG	MARSHALL - JTM45	Tête Guitare	JTM45									Tête Guitare	Guitars
01K096XPFRSS0ZMQTWT6QGQ42J	MARSHALL  - 1959HW	Tête Guitare	1959HW									Tête Guitare	Guitars
01K096XSF5X29RR0ZQ06JMEQ6K	MARSHALL  - 1959SLPlexi	Tête Guitare	1959SLPlexi									Tête Guitare	Guitars
01K096XWDGN5886D0ZK9R24YN8	MARSHALL - DSL100H	Tête Guitare	DSL100H									Tête Guitare	Guitars
01K096XZD41WFZKX4KBRVNWBN5	MARSHALL - JCM2000 DSL	Tête Guitare	JCM2000 DSL									Tête Guitare	Guitars
01K096Y5CGTTWNY4SM8KJ81VXG	MARSHALL - JVM410H	Tête Guitare	JVM410H									Tête Guitare	Guitars
01K096Y8CN3M0NMYJ7PRKPZF40	MESA BOOGIE  - TRIPLE RECTIFIER	Tête Guitare	TRIPLE RECTIFIER									Tête Guitare	Guitars
01K096YBCGWK36YT6NE2420P2R	MESA BOOGIE  - DUAL RECTIFIER SOLO II	Tête Guitare	DUAL RECTIFIER SOLO II									Tête Guitare	Guitars
01K096YEC4F793KTYD840WKCPH	MESA BOOGIE  - DUAL RECTIFIER SOLO	Tête Guitare	DUAL RECTIFIER SOLO									Tête Guitare	Guitars
01K096YHDEY82RJJSFF8EB4FRZ	MESA BOOGIE  - DUAL RECTIFIER 100W	Tête Guitare	DUAL RECTIFIER 100W									Tête Guitare	Guitars
01K096YMCW9BJX8KTRTRHY3MXW	MESA BOOGIE - MARK V (FIVE)	Tête Guitare	MARK V (FIVE)									Tête Guitare	Guitars
01K096YQDVA3B497NC83Z2H9JS	MESA BOOGIE  - 50/50	Tête Guitare	50/50									Tête Guitare	Guitars
01K096YTDS33EBH0PSGWC6AMFQ	ORANGE - ROCKERVERB 100	Tête Guitare	ROCKERVERB 100									Tête Guitare	Guitars
01K096YXDNGMY7V2FXKNJ7FG3Q	ORANGE - THUNDERVERB 200	Tête Guitare	THUNDERVERB 200									Tête Guitare	Guitars
01K096Z0DEDQQ93A770QZ604BS	PEAVEY  - 6505 +	Tête Guitare	6505 +									Tête Guitare	Guitars
01K42RZ3X173VGTDB6K3ARTMT3	MARSHALL - JCM 2000 TSL 100	Tête Guitare	JCM 2000 TSL 100	"<p>Le Marshall JCM2000 TSL100 est une t&ecirc;te d&rsquo;ampli guitare tout lampes de 100 watts, offrant trois canaux ind&eacute;pendants &mdash; Clean, Crunch et Lead &mdash; pour une grande polyvalence sonore.</p>
<p>&Eacute;quip&eacute; de quatre lampes EL34 en puissance et quatre 12AX7 en pr&eacute;ampli, il int&egrave;gre une r&eacute;verbe ind&eacute;pendante pour le canal clair et les canaux Crunch/Lead, deux boucles d&rsquo;effets s&eacute;par&eacute;es avec r&eacute;glage de mix et niveaux ajustables, ainsi qu&rsquo;un s&eacute;lecteur &ldquo;Deep&rdquo; ajoutant de la r&eacute;sonance dans les graves et un &ldquo;Mid Boost&rdquo; pour enrichir le canal clair.</p>
<p>Le TSL100 dispose &eacute;galement d&rsquo;une sortie ligne avec simulation de haut-parleur, d&rsquo;une fonction &ldquo;Virtual Power Reduction&rdquo; (VPR) pour simuler la saturation d&rsquo;un ampli &agrave; faible puissance, et d&rsquo;un footswitch 5 voies permettant de contr&ocirc;ler les canaux, la r&eacute;verbe et les boucles d&rsquo;effets.</p>
<p>Produit entre 1998 et 2009, ce mod&egrave;le est r&eacute;put&eacute; pour son grain typique Marshall, son &eacute;quilibre entre puissance et d&eacute;finition, et sa robustesse sur sc&egrave;ne comme en studio.</p>
<p><strong>Manuel officiel</strong>&nbsp;:&nbsp;<a class=""reset interactable cursor-pointer decoration-1 underline-offset-1 text-super hover:underline font-semibold"" href=""https://medias.audiofanzine.com/files/tsl60-tsl601-tsl602-manual-479377.pdf"" target=""_blank"" rel=""nofollow noopener"" data-state=""open"">https://medias.audiofanzine.com/files/tsl60-tsl601-tsl602-manual-479377.pdf</a></p>"	572	297.0	214.0	748.0	22.5	"[{""key"":""Ann\u00e9es"",""value"":""1998 \u00e0 2009""},{""key"":""Power"",""value"":""100W \/ 25W""},{""key"":""Number of Channels"",""value"":""3 (Clean, Crunch\/OD1, Lead\/OD2)""},{""key"":""Valves"",""value"":""4x ECC83 & 4x EL34""},{""key"":""Controls"",""value"":null},{""key"":""Clean Channel"",""value"":""Bass, Middle, Treble, Volume, Gain, Presence, FX Mix, Reverb""},{""key"":""Crunch Channel"",""value"":""Bass, Middle, Treble, Volume, Gain""},{""key"":""Lead Channel"",""value"":""Bass, Middle, Treble, Volume, Gain""},{""key"":""Shared Crunch & Lead Controls"",""value"":""Presence, FX Mix, Reverb""},{""key"":""Buttons"",""value"":""Mid Boost (Clean Channel), Mode Select (Clean or OD1\/OD2), Crunch\/Lead Channel, Deep (Clean Channel), Deep (Crunch & Lead Channels), V.P.R., Output Mute, Loop Level Effect Loop A, Loop Level Effect Loop B""},{""key"":""Switch"",""value"":""Impedance Select (4\/8 Ohms)""},{""key"":""Connectors"",""value"":null},{""key"":""Output"",""value"":""Emulated Line Out (XLR)""},{""key"":""Speaker Outputs 1"",""value"":""16 Ohms only""},{""key"":""Speaker Outputs 2&3"",""value"":""4 or 8 Ohms in parallel""},{""key"":""Effect Loop"",""value"":""Effect Loop A (Send, Return) & Effect Loop B (Send & Return)""},{""key"":""Control"",""value"":""Foot Controller (supplied 5-way footswitch)""}]"		Tête Guitare	Guitars
01K42RZ45AN3TRTMF1A02GN2J2	MARSHALL - JCM900	Tête Guitare	JCM900	<p>Le Marshall JCM900 4100 est une t&ecirc;te d&rsquo;ampli guitare tout lampes, d&eacute;livrant 100 watts via quatre lampes de puissance 5881 et trois lampes de pr&eacute;ampli ECC83. Offrant deux canaux ind&eacute;pendants (Clean et Lead), cet ampli int&egrave;gre une double r&eacute;verbe Accutronics, une boucle d&rsquo;effets s&eacute;rie, et un &eacute;galiseur &agrave; quatre bandes (basses, m&eacute;diums, aigus, pr&eacute;sence). Il poss&egrave;de un s&eacute;lecteur d&rsquo;imp&eacute;dance permettant de fonctionner sous 4, 8 ou 16 ohms, et un switch permettant de r&eacute;duire la puissance de sortie de 100W &agrave; 50W pour une adaptabilit&eacute; en r&eacute;p&eacute;tition ou sur sc&egrave;ne. Fabrication anglaise, r&eacute;put&eacute; pour sa robustesse et son grain Marshall typique, il fait partie de la s&eacute;rie Vintage Reissue.</p>	462	210.0	310.0	740.0	18.8	"[{""key"":""Ann\u00e9es"",""value"":""1990 \u00e0 1999""},{""key"":""Pr\u00e9ampli"",""value"":""\u00e0 lampes (3 x ECC83)""},{""key"":""Ampli de puissance"",""value"":""\u00e0 lampes (4 x 5881)""},{""key"":""Puissance"",""value"":""100 Watts (switchable en 50 Watts)""},{""key"":""Canaux"",""value"":""2 canaux (avec footswitch)""},{""key"":""CH A"",""value"":""Clean\/Crunch""},{""key"":""CH B"",""value"":""Lead""},{""key"":""Equaliseur & effets"",""value"":""3 bandes (Bass\/Mid\/Treble\/Pr\u00e9sence) commun aux 2 canaux""},{""key"":null,""value"":""1 Gain et 1 Master par canal""},{""key"":null,""value"":""1 r\u00e9glage Reverb par canal""},{""key"":""sorties HP"",""value"":""2 sorties (4\/8\/16 Ohms)""},{""key"":""sorties ligne"",""value"":""1 Direct \/ 1 Compensated""}]"		Tête Guitare	Guitars
