id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K098FKYZK365Q1EHNYPTBHJS	ARTURIA - KEYLAB 49	Clavier MIDI	KEYLAB 49									Clavier MIDI	Keyboards
01K098FQP6HDFBJR9QHRDHSVSA	ARTURIA - KEYLAB 88 MK2	Clavier MIDI	KEYLAB 88 MK2									Clavier MIDI	Keyboards
01K098FVCBM88A3QDBEAYNCPZE	AKAI PROFESSIONAL - APC 40	Clavier MIDI	APC 40									Clavier MIDI	Keyboards
01K098FZ3RDYA1YS2PD3Q61PB7	M-AUDIO  - CONTROL 49	Clavier MIDI	CONTROL 49									Clavier MIDI	Keyboards
01K098G2TYQ2N82X2ZZPM0CNWK	M-AUDIO  - AXIOM AIR 49	Clavier MIDI	AXIOM AIR 49									Clavier MIDI	Keyboards
01K098G6JA5SZTFQSM3K9021VZ	M-AUDIO - AXIOM 49	Clavier MIDI	AXIOM 49									Clavier MIDI	Keyboards
01K098GA87HYBWWRXSGA4J3ZM0	M-AUDIO  - AXIOM PRO 49	Clavier MIDI	AXIOM PRO 49									Clavier MIDI	Keyboards
01K098HF40Q0PTBHH9Q65A9T17	ROLAND  - A90EX	Clavier MIDI	A90EX									Clavier MIDI	Keyboards
01K098GDY1WNZKGVPSTH0CH3VW	M-AUDIO  - AXIOM PRO 61	Clavier MIDI	AXIOM PRO 61									Clavier MIDI	Keyboards
01K098GHPAWH4JWQ8KZ9EHKE1G	M-AUDIO - PROKEYS 88	Clavier MIDI	PROKEYS 88									Clavier MIDI	Keyboards
01K098GNDV1Q42Q33HBX396KAA	M-AUDIO  - CODE 61	Clavier MIDI	CODE 61									Clavier MIDI	Keyboards
01K098GS2KVQ3FE44WHBF03XCQ	NATIVE INSTRUMENTS - KOMPLETE KONTROL A25	Clavier MIDI	KOMPLETE KONTROL A25									Clavier MIDI	Keyboards
