id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K098F7H8H3031DFTAC4YR5WV	WURLITZER - EP200A	Piano electrique	EP200A									Piano electrique	Keyboards
01K098E61WWF4HP1QQ9W78CKB5	RHODES - MKI 73 STAGE	Piano electrique	MKI 73 STAGE									Piano electrique	Keyboards
01K098E9S84HD93ZR16RJSBGGY	FENDER RHODES - MKI 73 SUITCASE	Piano electrique	MKI 73 SUITCASE									Piano electrique	Keyboards
01K098EDGPRN78G4RG7TSZ3V96	RHODES - MKI 88 STAGE	Piano electrique	MKI 88 STAGE									Piano electrique	Keyboards
01K098EH5Q4718AAGEKR1206QB	RHODES - MKI 88 SUITCASE	Piano electrique	MKI 88 SUITCASE									Piano electrique	Keyboards
01K098EMTMKXR6FCD5QQDWBR22	RHODES - MKII 73 STAGE	Piano electrique	MKII 73 STAGE									Piano electrique	Keyboards
01K098ERK3WX6Y4RGAP9Z5WQD0	RHODES  - MKII 73 SUITCASE	Piano electrique	MKII 73 SUITCASE									Piano electrique	Keyboards
01K098EW9NY2SPFFGSGZG7C5MC	HOHNER - CLAVINET D6	Piano electrique	CLAVINET D6									Piano electrique	Keyboards
01K098EZZFJTFGRZWPSYZVV551	VINTAGE VIBE - BLACK 73 TREMOLO	Piano electrique	BLACK 73 TREMOLO									Piano electrique	Keyboards
01K098F3N9PDHP5SV359BM5XZB	VINTAGE VIBE - SILVER 73 TREMOLO	Piano electrique	SILVER 73 TREMOLO									Piano electrique	Keyboards
01K098FB8RBZAPNRAJ09E54FRT	YAMAHA - CP80 ELECTRIC PIANO	Piano electrique	CP80 ELECTRIC PIANO									Piano electrique	Keyboards
01K098FEZXXBJGCVNGCA7JVQ6Z	YAMAHA - CP70 ELECTRIC PIANO	Piano electrique	CP70 ELECTRIC PIANO									Piano electrique	Keyboards
01K42RYT3SCRBGP8WE5PZT5Q3N	Rhodes - Mark II 54	Piano electrique	Mark II 54									Piano electrique	Keyboards
01K42RYTC12B5DDEQ3B4791YJ7	Rhodes - Mark II 88	Piano electrique	Mark II 88									Piano electrique	Keyboards
01K42RYYZS12VTVTQRQHK57443	Rhodes - MKII 88	Piano electrique	MKII 88	"<p>Le Rhodes MKII 88 est une &eacute;volution tardive de la s&eacute;rie Rhodes, privil&eacute;giant une conception plus l&eacute;g&egrave;re et une m&eacute;canique simplifi&eacute;e. Avec ses 88 touches et sa g&eacute;n&eacute;ration par tines/pickups, il d&eacute;livre le timbre Rhodes embl&eacute;matique, allant du velout&eacute; chaleureux aux attaques claires et &ldquo;bell-like&rdquo; selon le voicing. En contexte live et en r&eacute;sidence, il offre une grande stabilit&eacute; une fois correctement r&eacute;gl&eacute; (escapement, intonation, orientation pickups). Le contr&ocirc;le Tone permet d&rsquo;adapter rapidement la brillance sur sc&egrave;ne. La version Stage fonctionne en passif et s&rsquo;int&egrave;gre facilement via DI/bo&icirc;te d&rsquo;injection vers la fa&ccedil;ade; un pr&eacute;ampli externe (EQ/comp) est souvent appr&eacute;ci&eacute; pour optimiser la pr&eacute;sence. Construction robuste, pieds amovibles et p&eacute;dale m&eacute;canique en font un standard fiable du backline, particuli&egrave;rement appr&eacute;ci&eacute; pour les sets soul, pop, jazz et musiques actuelles.</p>
<p>&nbsp;</p>"	3500	114.0	25.0	56.0	59.0	"[{""key"":""Type"",""value"":""Piano \u00e9lectrique \u00e9lectrom\u00e9canique \u00e0 lamelles (tines) avec barres de tonalit\u00e9""},{""key"":""Clavier"",""value"":""88 touches plein format, action \u00e0 marteaux (m\u00e9canique simplifi\u00e9e s\u00e9rie MKII)""},{""key"":""Timbre"",""value"":""G\u00e9n\u00e9ration par tines + pickups magn\u00e9tiques, r\u00e9glage de voicing par vis d\u2019intonation et orientation des pickups""},{""key"":""Contr\u00f4les en facade"",""value"":""Volume, Tone (filtre passif aigu)""},{""key"":""Sorties"",""value"":""1 x Jack 6,35 mm mono (line out), 1 x casque (selon s\u00e9ries)""},{""key"":""Accessoires"",""value"":""Pieds amovibles, traverse, p\u00e9dale de sustain (tige\/harpe), capot rigide""}]"		Piano electrique	Keyboards
