id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K098R6YAAXC2492EQA9B3T35	KORG  - M3 73	Workstation	M3 73									Workstation	Keyboards
01K098RARST0NSX8RAE3DA0YEZ	KORG  - M3 61	Workstation	M3 61									Workstation	Keyboards
01K098REJ0F7JZJR5GKPE768TY	KORG  - TRITON EXTREME 61	Workstation	TRITON EXTREME 61									Workstation	Keyboards
01K098RJBGRZ5JG83G732CQBTQ	KORG  - TRITON	Workstation	TRITON									Workstation	Keyboards
01K098RP47G0TPGYVTKE5SNFE6	KORG  - TRINITY PLUS	Workstation	TRINITY PLUS									Workstation	Keyboards
01K098RSY2Y42BWB541P9PZJ66	KORG  - TRINITY V3 PRO	Workstation	TRINITY V3 PRO									Workstation	Keyboards
01K098RXQWC20P4ZJHVH5D1MQ3	KORG  - TRINITY V3	Workstation	TRINITY V3									Workstation	Keyboards
01K098S1JBZ5MB7JJAXJC9RSSX	KORG  - 01W/FD	Workstation	01W/FD									Workstation	Keyboards
01K098S5BJ37XVGN9XRZ1FQZFD	KORG  - M1	Workstation	M1									Workstation	Keyboards
01K098S9726S9QQS9X0JSHGEXS	KURZWEIL - K2500X	Workstation	K2500X									Workstation	Keyboards
01K098SCZV02SA2PZGPZ14QXJN	KURZWEIL - K2000	Workstation	K2000									Workstation	Keyboards
01K098SGSYN9K309YMMMZ49ST4	ROLAND - XP80	Workstation	XP80									Workstation	Keyboards
01K44SHDAVGCPJ1036FAKZ1FG7	KORG - KRONOS 73	Workstation	KRONOS 73	"<p data-start=""0"" data-end=""207"">Workstation flagship produite depuis 2011, remise &agrave; jour en mod&egrave;le 2025 avec architecture syst&egrave;me r&eacute;engineered pour d&eacute;marrage 60% plus rapide et workflow fluidifi&eacute;. Neuf moteurs sonores int&eacute;gr&eacute;s : SGX-2 (pianos acoustiques premium), EP-1 (pianos &eacute;lectriques MDS), CX-3 (orgue &agrave; tirettes vintage), HD-1 (&eacute;chantillons haute d&eacute;finition), AL-1 (analogique virtuel), MOD-7 (synth&egrave;se VPM/FM), STR-1 (mod&eacute;lisation physique cordes), MS-20EX et PolysixEX (synth&eacute;s vintage Korg). Clavier 73 touches RH3 (Real weighted Hammer action) pond&eacute;ration gradu&eacute;e 4 zones avec aftertouch. &Eacute;cran tactile TouchView 8"" couleur 800&times;600 pixels, s&eacute;quenceur 16 pistes MIDI + 16 pistes audio 24-bit/48 kHz, interface audio USB int&eacute;gr&eacute;e. SSD interne 120 Go pour samples utilisateur et biblioth&egrave;ques optionnelles. Section contr&ocirc;leurs compl&egrave;te : 8 encodeurs, 9 faders, joystick X/Y, joystick vectoriel, contr&ocirc;leur ruban, 16 boutons + 2 assignables.</p>
<p data-start=""0"" data-end=""207""><strong>Constructeur :</strong>&nbsp;<a class=""reset interactable cursor-pointer decoration-1 underline-offset-1 text-super hover:underline font-semibold"" href=""https://www.korg.com/fr/products/synthesizers/kronos3/"" target=""_blank"" rel=""nofollow noopener"">https://www.korg.com/fr/products/synthesizers/kronos3/</a></p>"	1250	124.5	14.8	37.0	20.4	"[{""key"":""Clavier"",""value"":""73 touches RH3 v\u00e9locit\u00e9 + aftertouch, pond\u00e9ration gradu\u00e9e 4 zones""},{""key"":""Polyphonie"",""value"":""Jusqu'\u00e0 200 voix (variable selon moteur)""},{""key"":""Moteurs sonores"",""value"":""9 (SGX-2, EP-1, CX-3, HD-1, AL-1, MOD-7, STR-1, MS-20EX, PolysixEX)""},{""key"":""Multitimbralit\u00e9"",""value"":""16 parties""},{""key"":""\u00c9cran"",""value"":""TFT TouchView 8\"" couleur 800\u00d7600 pixels""},{""key"":""S\u00e9quenceur"",""value"":""16 pistes MIDI + 16 pistes audio (24-bit\/48 kHz)""},{""key"":""Effets"",""value"":""16 slots (12 insert, 2 master, 2 total), 197 types, EQ 3 bandes par timbre""},{""key"":""\u00c9chantillonneur"",""value"":""Interne avec time-stretch et time-slice""},{""key"":""KARMA"",""value"":""G\u00e9n\u00e9ration algorithmique phrases complexes temps r\u00e9el""},{""key"":""Connectique"",""value"":""2 entr\u00e9es ligne, 2 sorties ligne, 4 sorties individuelles, casque, MIDI, S\/PDIF, USB A\u00d72 + B""},{""key"":""Stockage"",""value"":""SSD 120 Go interne""},{""key"":""Ann\u00e9es"",""value"":""2011-pr\u00e9sent (mod\u00e8le 2025)""}]"		Workstation	Keyboards
