id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K095WB7ZC587QEBPYG9AG435	AGUILAR - GS810	Baffles basse	GS810									Baffles Basse	Bass
01K095WDX36B19V4P4PEKAWX6J	AGUILAR - GS410	Baffles basse	GS410									Baffles Basse	Bass
01K095WGH5H3QNM72KSEWY9BQD	AGUILAR - GS412	Baffles basse	GS412									Baffles Basse	Bass
01K095WK65MYDK882P7HB6JP7A	AGUILAR - GS112	Baffles basse	GS112									Baffles Basse	Bass
01K095WNV0JF1T95939PKVBGCE	AGUILAR - DB410-8	Baffles basse	DB410-8									Baffles Basse	Bass
01K095WRFSXDGMQGQADVH8KPD1	AGUILAR - DB115	Baffles basse	DB115									Baffles Basse	Bass
01K095WV4MG2XCAN4WJZNKM1XY	AMPEG  - SVT-810 VINTAGE	Baffles basse	SVT-810 VINTAGE									Baffles Basse	Bass
01K095WXTJ4QK9B9D1E8J4MDJ9	AMPEG  - SVT-810E CLASSIC	Baffles basse	SVT-810E CLASSIC									Baffles Basse	Bass
01K095X0FJP0TQMZ30PGYKRX7P	AMPEG  - SVT-810AV ANNIVERSARY	Baffles basse	SVT-810AV ANNIVERSARY									Baffles Basse	Bass
01K095X34ZZ2J8RCEGR4939FTT	AMPEG - SVT-810E CLASSIC HERITAGE	Baffles basse	SVT-810E CLASSIC HERITAGE									Baffles Basse	Bass
01K095X5SP703D7ZCX418PSXCD	AMPEG  - SVT-610HLF	Baffles basse	SVT-610HLF									Baffles Basse	Bass
01K095X8EK9118HMMJ36RDNAH9	AMPEG - SVT-410HLF	Baffles basse	SVT-410HLF									Baffles Basse	Bass
01K095XB2WFGB1VGEH5BA481FZ	AMPEG  - SVT-410HLF HERITAGE	Baffles basse	SVT-410HLF HERITAGE									Baffles Basse	Bass
01K095XDRJPWCMASC6P6SQRKK3	AMPEG  - SVT-410HE	Baffles basse	SVT-410HE									Baffles Basse	Bass
01K095XGDR2K9SGDHHV17DFZCQ	AMPEG - PN-410HLF	Baffles basse	PN-410HLF									Baffles Basse	Bass
01K095XK4SA1KEXWXBC36D2M6K	AMPEG  - SVT-15E	Baffles basse	SVT-15E									Baffles Basse	Bass
01K095XNSGSWZ69J8WKHC5JK3K	AMPEG  - SVT-18E	Baffles basse	SVT-18E									Baffles Basse	Bass
01K095XRGB0NP23P61CADRBGF9	AMPEG - SVT-212AV ANNIVERSARY	Baffles basse	SVT-212AV ANNIVERSARY	"<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">Baffle basse Ampeg SVT-212AV Anniversary appartenant &agrave; la prestigieuse s&eacute;rie Classic d&eacute;velopp&eacute;e pour incarner l'authentique signature sonore SVT dans un format 2x12 pouces. Cette configuration r&eacute;volutionnaire &eacute;tablit le compromis parfait entre la r&eacute;activit&eacute; transiente des 10 pouces et la profondeur grave des 15 pouces, d&eacute;livrant le l&eacute;gendaire son SVT avec une polyvalence acoustique exceptionnelle.</p>
<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">La connectique professionnelle &agrave; double jacks 6,35mm parall&egrave;les facilite le cha&icirc;nage d'enceintes suppl&eacute;mentaires pour optimiser les configurations techniques complexes. Le tweeter compression 1 pouce avec commutateur L-Pad 3 positions (0/-6/Off) permet l'adaptation tonale pr&eacute;cise selon les exigences acoustiques du lieu. Construction contreplaqu&eacute; peuplier 15mm avec extensive internal bracing garantit robustesse et performances acoustiques optimales pour usage intensif.</p>
<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">L'efficacit&eacute; remarquable de 99 dB SPL minimise les besoins en amplification tout en d&eacute;livrant jusqu'&agrave; 127 dB SPL maximum. Cette performance exceptionnelle, associ&eacute;e aux poign&eacute;es lat&eacute;rales ergonomiques et &agrave; la finition Anniversary authentique, optimise les configurations techniques Mulster privil&eacute;giant qualit&eacute; sonore et transport ais&eacute;.</p>"	771	40.6	63.5	61.0	29.9	"[{""key"":""Haut-parleurs"",""value"":""2x 12\"" Custom Eminence LF (ch\u00e2ssis estamp\u00e9 c\u00e9ramique)""},{""key"":""Tweeter"",""value"":""Compression driver 1\"" avec L-Pad 3 positions (0\/-6\/Off)""},{""key"":""Puissance"",""value"":""600 Watts RMS @ 4 Ohms""},{""key"":""Imp\u00e9dance"",""value"":""4 Ohms""},{""key"":""Type de construction"",""value"":""Ported poplar plywood""},{""key"":""R\u00e9ponse en fr\u00e9quence"",""value"":""71 Hz - 18 kHz (\u00b13dB)""},{""key"":""Extension grave"",""value"":""40 Hz (-10dB)""},{""key"":""Sensibilit\u00e9"",""value"":""99 dB SPL @ 1W\/1M""},{""key"":""SPL maximum"",""value"":""127 dB""},{""key"":""Mat\u00e9riau"",""value"":""Contreplaqu\u00e9 peuplier 15mm (11 plis)""},{""key"":""Connectique"",""value"":""2x Jack 6,35mm parall\u00e8les""},{""key"":""Finition"",""value"":""AV Tolex noir avec grille Anniversary bleue-grise""},{""key"":""Poign\u00e9es"",""value"":""Lat\u00e9rales ergonomiques encastr\u00e9es""},{""key"":""Fabrication"",""value"":""Chine""}]"		Baffles Basse	Bass
01K095XV5MH4F7KB9DPQCG6E6R	AMPEG - PF-210HE PORTAFLEX	Baffles basse	PF-210HE PORTAFLEX	"<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">Baffle basse Ampeg PF-210HE appartenant &agrave; la s&eacute;rie Portaflex moderne, r&eacute;interpr&eacute;tation contemporaine des l&eacute;gendaires flip-top des ann&eacute;es 1960. Cette configuration 2x10 pouces r&eacute;volutionnaire combine l'esth&eacute;tique vintage Black Diamond Tolex avec les performances techniques modernes. Le syst&egrave;me flip-top exclusif permet de rabattre toute t&ecirc;te Portaflex &agrave; l'int&eacute;rieur pour un transport s&eacute;curis&eacute; optimal.</p>
<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">La connectique professionnelle &agrave; double jacks parall&egrave;les 6,35mm facilite le cha&icirc;nage d'enceintes suppl&eacute;mentaires, passant de 8 ohms &agrave; 4 ohms pour optimiser la puissance disponible. Le tweeter compression 1 pouce avec commutateur L-Pad 3 positions (0/-6/Off) assure une adaptation tonale pr&eacute;cise selon les exigences acoustiques. Construction contreplaqu&eacute; peuplier 15mm avec extensive internal bracing garantit robustesse et performances acoustiques optimales pour usage intensif.</p>
<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">L'efficacit&eacute; exceptionnelle de 99,6 dB SPL minimise les besoins en amplification tout en d&eacute;livrant une couverture sonore homog&egrave;ne jusqu'&agrave; 125,6 dB SPL maximum. Cette performance remarquable, associ&eacute;e aux roulettes amovibles incluses, optimise les configurations techniques Mulster privil&eacute;giant mobilit&eacute; et qualit&eacute; sonore.</p>
<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2""><strong>Manuel officiel :</strong>&nbsp;<a class=""reset interactable cursor-pointer decoration-1 underline-offset-1 text-super hover:underline font-semibold"" href=""https://ampeg.com/pdf/PF-115HE_PF-210HE_cabs_OM.pdf"" target=""_blank"" rel=""nofollow noopener"" data-state=""closed"">https://ampeg.com/pdf/PF-115HE_PF-210HE_cabs_OM.pdf</a></p>"	400	35.5	58.4	53.3	21.6	"[{""key"":""Haut-parleurs"",""value"":""2x 10\"" Eminence LF c\u00e9ramique custom""},{""key"":""Tweeter"",""value"":""Compression driver 1\"" avec L-Pad commutable (0\/-6\/Off)""},{""key"":""Puissance"",""value"":""450 Watts RMS @ 8 Ohms (900 W peak)""},{""key"":""Imp\u00e9dance"",""value"":""8 Ohms""},{""key"":""Type de construction"",""value"":""Flip-top ported poplar plywood""},{""key"":""R\u00e9ponse en fr\u00e9quence"",""value"":""53 Hz - 17 kHz (\u00b13dB)""},{""key"":""Extension grave"",""value"":""38 Hz (-10dB)""},{""key"":""Sensibilit\u00e9"",""value"":""99,6 dB SPL @ 1W\/1M""},{""key"":""SPL maximum"",""value"":""125,6 dB""},{""key"":""Mat\u00e9riau"",""value"":""Contreplaqu\u00e9 peuplier 15mm""},{""key"":""Connectique"",""value"":""2x Jack 6,35mm parall\u00e8les""},{""key"":""Finition"",""value"":""Black Diamond Tolex avec grille B-15 vintage""},{""key"":""Roulettes"",""value"":""4 amovibles incluses""},{""key"":""Fabrication"",""value"":""Chine""}]"		Baffles Basse	Bass
01K095XXV4NKJS68QW252ZMZH6	ASHDOWN - ABM 410T	Baffles basse	ABM 410T	<p>Le ABM 410T est un baffle basse 4&times;10&Prime; issu de la s&eacute;rie ABM EVO, con&ccedil;u pour les musiciens professionnels recherchant un son puissant et pr&eacute;cis. Construit en contreplaqu&eacute; de bouleau haut de gamme, il int&egrave;gre quatre haut-parleurs BlueLine personnalis&eacute;s et un tweeter commutable (Hi/Low/Off). Sa face avant est front-ported pour une dispersion optimale des basses fr&eacute;quences. il offre une excellente robustesse (coins m&eacute;tal, poign&eacute;e m&eacute;talliques) et facilite le transport gr&acirc;ce &agrave; ses roulettes int&eacute;gr&eacute;es. il d&eacute;livre un SPL &eacute;lev&eacute; (103 dB) et une plage de fr&eacute;quences &eacute;tendue pour un rendu clair sur tous les registres.</p>	350	42.0	66.1	61.0	39.0	"[{""key"":""Haut-parleurs"",""value"":""4\u00d7 10\u2033 BlueLine Custom (ch\u00e2ssis aluminium)""},{""key"":""Tweeter"",""value"":""HF commutable (Hi\/Low\/Off)""},{""key"":""Puissance"",""value"":""600 W RMS (900 W programme)""},{""key"":""Imp\u00e9dance"",""value"":""8 \u03a9""},{""key"":""Type"",""value"":""Front-ported plywood cabinet""},{""key"":""R\u00e9ponse"",""value"":""70 Hz \u2013 20 kHz""},{""key"":""SPL"",""value"":""103 dB @ 1 W\/1 m""},{""key"":""Mat\u00e9riau"",""value"":""Contreplaqu\u00e9 bouleau 18 mm, rev\u00eatement leathercloth""},{""key"":""Connectique"",""value"":""2\u00d7 Speakon combi jack (entr\u00e9e + link)""},{""key"":""Fixations"",""value"":""Coins m\u00e9talliques, poign\u00e9e m\u00e9talliques""},{""key"":""Transport"",""value"":""Roulettes inclin\u00e9es int\u00e9gr\u00e9es, bracing interne""},{""key"":""Dimensions emballage"",""value"":""76 \u00d7 70 \u00d7 52 cm""},{""key"":""Poids emballage"",""value"":""40 kg""},{""key"":""Fabrication"",""value"":""UK""}]"		Baffles Basse	Bass
01K095Y0GSEDG0AG5X32K793CZ	ASHDOWN  - ABM 115	Baffles basse	ABM 115	"<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">Baffle basse Ashdown ABM 115 con&ccedil;u pour offrir un compromis optimal entre portabilit&eacute; et performance. Cette enceinte 1&times;15&Prime; l&eacute;g&egrave;re adopte un haut-parleur BlueLine Custom mont&eacute; sur ch&acirc;ssis en aluminium pour un rendement optimal, tout en conservant pourquoi la robustesse n&eacute;cessaire aux tourn&eacute;es intensives.</p>"	300	43.5	57.2	46.8	16.5	"[{""key"":""Haut-parleurs"",""value"":""1\u00d715\"" Ashdown BlueLine Custom (aluminium)""},{""key"":""Puissance"",""value"":""300 Watts RMS""},{""key"":""Imp\u00e9dance"",""value"":""8 \u03a9""},{""key"":""Type de construction"",""value"":""Sealed cabinet (enceinte ferm\u00e9e)""},{""key"":""R\u00e9ponse en fr\u00e9quence"",""value"":""40 Hz \u2013 16 kHz""},{""key"":""Sensibilit\u00e9"",""value"":""102 dB SPL @ 1W\/1m""},{""key"":""Connectique"",""value"":""1\u00d7 Speakon + 1\u00d7 Jack 6,35 mm""},{""key"":""Finitions"",""value"":""Vinyl noir r\u00e9sistant""},{""key"":""Grille"",""value"":""M\u00e9tal perfor\u00e9 kick-proof""},{""key"":""Poign\u00e9es"",""value"":""Flip-up handles encastr\u00e9es""},{""key"":""Fabrication"",""value"":""UK\/Chine""}]"		Baffles Basse	Bass
01K095Y37TSA5GWYRJN3BK3ECR	EBS  - 410 PROLINE	Baffles basse	410 PROLINE	"<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">Baffle basse EBS 410 ProLine incarnant l'excellence technique su&eacute;doise et repr&eacute;sentant la quintessence du l&eacute;gendaire ""son EBS"" d&eacute;velopp&eacute; depuis 1988. Cette configuration 4x10 pouces r&eacute;volutionnaire &eacute;tablit de nouveaux standards avec sa construction sophistiqu&eacute;e en bouleau 13 plis et ses composants acoustiques d&eacute;velopp&eacute;s sp&eacute;cialement pour l'amplification basse professionnelle de tr&egrave;s haut niveau.</p>
<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">La construction utilise quatre haut-parleurs 10 pouces EBS Custom optimis&eacute;s sp&eacute;cialement pour chaque mod&egrave;le selon les sp&eacute;cifications exclusives de la marque, offrant une transparence remarquable et une pr&eacute;cision harmonique chirurgicale. Le tweeter titanium 2 pouces avec contr&ocirc;le d'att&eacute;nuation variable de -3dB &agrave; +3dB compl&egrave;te l'&eacute;quipement permettant l'adaptation pr&eacute;cise aux exigences de chaque style et situation.</p>
<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2"">L'enceinte utilise un contreplaqu&eacute; bouleau finnois 13 plis avec grille acier tiss&eacute; chrom&eacute; et finition feutre r&eacute;sistant, &eacute;voquant la robustesse l&eacute;gendaire des productions scandinaves. Cette approche technique assure une r&eacute;ponse de 70 Hz &agrave; 18 kHz avec une sensibilit&eacute; exceptionnelle de 102 dB SPL, performances reconnues par les plus grands artistes internationaux depuis 25 ans.</p>"	1100	44.0	69.0	58.0	36.1	"[{""key"":""Haut-parleurs"",""value"":""4x 10\"" EBS Custom optimis\u00e9s""},{""key"":""Tweeter"",""value"":""Titanium 2\"" avec contr\u00f4le variable (-3dB \u00e0 +3dB)""},{""key"":""Puissance"",""value"":""800 Watts RMS @ 4 Ohms""},{""key"":""Imp\u00e9dance"",""value"":""4 Ohms""},{""key"":""Type de construction"",""value"":""Advanced porting system""},{""key"":""R\u00e9ponse en fr\u00e9quence"",""value"":""70 Hz - 18 kHz""},{""key"":""Sensibilit\u00e9"",""value"":""102 dB SPL @ 1W\/1M""},{""key"":""Volume interne"",""value"":""116 litres""},{""key"":""Mat\u00e9riau"",""value"":""Contreplaqu\u00e9 bouleau finnois 13 plis""},{""key"":""Connectique"",""value"":""2x Neutrik Speakon (Input & Link)""},{""key"":""Finition"",""value"":""Feutre r\u00e9sistant avec grille acier tiss\u00e9 chrom\u00e9""},{""key"":""Poign\u00e9es"",""value"":""Deep dish handles ergonomiques""},{""key"":""Garantie"",""value"":""5 ans limit\u00e9e""},{""key"":""Fabrication"",""value"":""Su\u00e8de""}]"		Baffles Basse	Bass
