id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K0962X2FKKWXH2N7CVFSXB7S	BOSS - CH1 SUPERCHORUS	Pédales Basse	CH1 SUPERCHORUS									Pédales Basse	Bass
01K0962ZXYGPGN3XZ9AMTPH303	BOSS - FV-500 H VOLUME MONO	Pédales Basse	FV-500 H VOLUME MONO									Pédales Basse	Bass
01K09632VXR92N90670S2MZCM5	EBS - OCTABASS	Pédales Basse	OCTABASS									Pédales Basse	Bass
01K09635QZGVGWRVR5XPEQ4841	HARTKE - VXL BASS ATTACK PREAMP / DI	Pédales Basse	VXL BASS ATTACK PREAMP / DI									Pédales Basse	Bass
01K09638J26AB7XVV25D24PWZ8	MORLEY - A/B BOX	Pédales Basse	A/B BOX									Pédales Basse	Bass
01K0963BDK946RT0NK622KPFWS	BOSS - TUNER PEDAL TU2/TU3	Pédales Basse	TUNER PEDAL TU2/TU3									Pédales Basse	Bass
01K0963E8CSCSR5SRFMA4MNZE1	BOSS - FV50H	Pédales Basse	FV50H									Pédales Basse	Bass
01K0963H3Y5QHYMB1MHJTYNDH6	ERNIE BALL - VOLUME PEDAL	Pédales Basse	VOLUME PEDAL									Pédales Basse	Bass
01K0963KZN062S0W6HV447S4WC	MXR - MICRO AMP	Pédales Basse	MICRO AMP									Pédales Basse	Bass
01K0963PTKYAYABKB984XEP4RT	RADIAL - SGI TX/RX	Pédales Basse	SGI TX/RX									Pédales Basse	Bass
01K0963SN1MA7PX4074TBN2CBN	TECH 21 - MIDI MOUSE	Pédales Basse	MIDI MOUSE									Pédales Basse	Bass
01K0963WF6BBK9FTN3GECX7FW2	TECH 21 - SANSAMP BASS DRIVER DI V2	Pédales Basse	SANSAMP BASS DRIVER DI V2									Pédales Basse	Bass
01K0963ZAZR2G84FHPXXPGF579	LINE 6 - HX STOMP	Pédales Basse	HX STOMP									Pédales Basse	Bass
01K096425VSVXR3KPR5WP1HE5Y	BOSS - FV-500 L VOLUME STEREO	Pédales Basse	FV-500 L VOLUME STEREO									Pédales Basse	Bass
