id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K0BS3QBVQPMGC7WR81QZH2KW	GIBSON - J-45 STANDARD	Guitares Acoustiques	J-45 STANDARD									Guitares Acoustiques	Guitars
01K0BS3VP1ATENR7D2WJJ6VZ34	GIBSON - J-45 CUSTOM	Guitares Acoustiques	J-45 CUSTOM									Guitares Acoustiques	Guitars
01K0BS3ZVK543DAVQ54V2N0PHS	GIBSON - J-45 CUSTOM PUREVOICE	Guitares Acoustiques	J-45 CUSTOM PUREVOICE									Guitares Acoustiques	Guitars
01K0BS441012RQ5KDAR9K8AWR4	GIBSON  - J-200 '68 VINTAGE	Guitares Acoustiques	J-200 '68 VINTAGE									Guitares Acoustiques	Guitars
01K0BS487BEQM2Z4S2TJFS90WE	GIBSON  - HUMMINGBIRD '66 VINTAGE	Guitares Acoustiques	HUMMINGBIRD '66 VINTAGE									Guitares Acoustiques	Guitars
01K0BS4CF09GP4QEP1GZ8VKAX6	GRETSCH  - BANJO BROADKASTER DELUXE 5	Guitares Acoustiques	BANJO BROADKASTER DELUXE 5									Guitares Acoustiques	Guitars
01K0BS4GQJKNMC59ARH0JJSC7N	GUILD  - D25 '75 VINTAGE	Guitares Acoustiques	D25 '75 VINTAGE									Guitares Acoustiques	Guitars
01K0BS4MZ7RG21WKKV26W12WJ7	LAG - UKULELE 700CE	Guitares Acoustiques	UKULELE 700CE									Guitares Acoustiques	Guitars
01K0BS4SE1H7GQANAF41MH9GCB	MARTIN  - HD28 '90 VINTAGE	Guitares Acoustiques	HD28 '90 VINTAGE									Guitares Acoustiques	Guitars
01K0BS4XPD8J2F0XAXBWY5CZGY	OVATION  - PATRIOT '76 VINTAGE	Guitares Acoustiques	PATRIOT '76 VINTAGE									Guitares Acoustiques	Guitars
01K0BS51X2H65BNTGVMBXPP9YP	TAKAMINE  - P6NC	Guitares Acoustiques	P6NC									Guitares Acoustiques	Guitars
01K0BS563W3V4AT7A7QQJNV0D8	TAKAMINE - P5NC	Guitares Acoustiques	P5NC									Guitares Acoustiques	Guitars
01K0BS5AARRGMDBM6K4KRM2Q3F	TAKAMINE  - SANTA FE	Guitares Acoustiques	SANTA FE									Guitares Acoustiques	Guitars
01K0BS5EH030WG10ZFKGHAESFS	TAKAMINE  - EN20	Guitares Acoustiques	EN20									Guitares Acoustiques	Guitars
01K0BS5JP79N2CA8266DDR5QDX	TAKAMINE  - EN10-12	Guitares Acoustiques	EN10-12									Guitares Acoustiques	Guitars
01K0BS5PXD58MXTWY2PPKK32RZ	TAKAMINE - FP592	Guitares Acoustiques	FP592									Guitares Acoustiques	Guitars
01K0BS5V48650W5ETF0HDGDRD4	TAKAMINE - NYLON BLACK EC124	Guitares Acoustiques	NYLON BLACK EC124									Guitares Acoustiques	Guitars
01K0BS5Z9YCNY5QHWN1N4B0RB0	TAKAMINE  - NYLON TH5C HIRADE	Guitares Acoustiques	NYLON TH5C HIRADE									Guitares Acoustiques	Guitars
01K0BS63G29D7096XWVGBBD4S7	TAKAMINE - NYLON CLASSIC	Guitares Acoustiques	NYLON CLASSIC									Guitares Acoustiques	Guitars
01K0BS67P8CAFRPJ1JSY71FEBT	TAYLOR - 612C	Guitares Acoustiques	612C									Guitares Acoustiques	Guitars
01K0BS6C2A7PWXPM8AH4DCAWMA	TAYLOR - 614CE	Guitares Acoustiques	614CE									Guitares Acoustiques	Guitars
01K0BS6GHFB26S3Q1YG7S2M578	TAYLOR - 814CE	Guitares Acoustiques	814CE									Guitares Acoustiques	Guitars
01K0BS6MWE2XQJ93QFFP015N0W	YAMAHA  - AC3R	Guitares Acoustiques	AC3R									Guitares Acoustiques	Guitars
01K42RYQMDJA78DZ7D1AFCECDW	TAKAMINE - ELECTRO ACOUSTIC NYLON	Guitares Acoustiques	ELECTRO ACOUSTIC NYLON									Guitares Acoustiques	Guitars
01K42RYQSXA9YN8J1XPTQK13H8	TAKAMINE - ETN 10C	Guitares Acoustiques	ETN 10C									Guitares Acoustiques	Guitars
