id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K0BS9Q5DG3YPPG42CS4V4YJF	DANELECTRO  - DANO '56 PRO BLACK	Guitares Electriques	DANO '56 PRO BLACK									Guitares Electriques	Guitars
01K0BS9VQPEAXV0J42FPZYS1M4	FENDER - JAGUAR SUNBURST	Guitares Electriques	JAGUAR SUNBURST									Guitares Electriques	Guitars
01K0BSA07777XZB14D4ET3JNB8	FENDER  - JAGUAR CLASSIC ARTIC WHITE	Guitares Electriques	JAGUAR CLASSIC ARTIC WHITE									Guitares Electriques	Guitars
01K0BSA4R8M2BK5NGSHJAV719S	FENDER  - JAZZMASTER AMERICAN PRO OLYMPIC WHITE	Guitares Electriques	JAZZMASTER AMERICAN PRO OLYMPIC WHITE									Guitares Electriques	Guitars
01K0BSA96TSG1XE36P696WAJ1J	FENDER - JAZZMASTER AMERICAN ORGINAL '60 SUNBURST	Guitares Electriques	JAZZMASTER AMERICAN ORGINAL '60 SUNBURST									Guitares Electriques	Guitars
01K0BSADQ8KCF6AC6SQV1W67MR	FENDER  - STRATOCASTER AVRI 56 BLACK	Guitares Electriques	STRATOCASTER AVRI 56 BLACK									Guitares Electriques	Guitars
01K0BSAJ7JZPM2C2WBG135VMC8	FENDER  - STRATOCASTER ERIC JOHNSON	Guitares Electriques	STRATOCASTER ERIC JOHNSON									Guitares Electriques	Guitars
01K0BSAPN4F43MBWPBWYYQD8VX	FENDER  - STRATOCASTER AMERICAN PRO SONIC GRAY	Guitares Electriques	STRATOCASTER AMERICAN PRO SONIC GRAY									Guitares Electriques	Guitars
01K0BSAV3EYK734KBPSE7DNET0	FENDER - STRATOCASTER AMERICAN SPECIAL SUNBURST	Guitares Electriques	STRATOCASTER AMERICAN SPECIAL SUNBURST									Guitares Electriques	Guitars
01K0BSAZFB7VPF40HYQ07QJ68C	FENDER - STRATOCASTER AMERICAN STD WHITE	Guitares Electriques	STRATOCASTER AMERICAN STD WHITE									Guitares Electriques	Guitars
01K0BSB3Y4Q4EXHX1ZXCJJZ18W	FENDER  - STRATOCASTER AMERICAN PRO HSS BLACK	Guitares Electriques	STRATOCASTER AMERICAN PRO HSS BLACK									Guitares Electriques	Guitars
01K0BSB8KQ497ABZGN3VMQ1H4Q	FENDER  - STRATOCASTER CANDYCOLA	Guitares Electriques	STRATOCASTER CANDYCOLA									Guitares Electriques	Guitars
01K0BSBD4DX2XEW6S0M9NM7AS2	FENDER  - STRATOCASTER LTD AVRI '59 PINE	Guitares Electriques	STRATOCASTER LTD AVRI '59 PINE									Guitares Electriques	Guitars
