id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K098HM9F4BSE0Z9FPSN2PBWG	HAMMOND - B3	Orgue	B3									Orgue	Keyboards
01K098HR1NQ7XE7FQX8G2W7AQW	HAMMOND  - B3 PORTABLE	Orgue	B3 PORTABLE									Orgue	Keyboards
01K098HVTB28HK0FZBXHHB8P5M	HAMMOND  - XK5	Orgue	XK5									Orgue	Keyboards
01K098HZHNJJ1GNDATHNBQX2Z3	KORG  - BX3	Orgue	BX3									Orgue	Keyboards
01K098J375A3W2V0JB7ETAH7ZC	KORG  - CX3	Orgue	CX3									Orgue	Keyboards
01K098J6XTFK6J3K4B8CN5W7KJ	NORD  - NORD C2D-COMBO PACK	Orgue	NORD C2D-COMBO PACK									Orgue	Keyboards
01K098JAPNY9J0GG55K88YQ4B2	NORD - C2D COMBO ORGAN	Orgue	C2D COMBO ORGAN									Orgue	Keyboards
01K098JEFRTA2K5X733P4AD286	NORD  - C2 COMBO ORGAN	Orgue	C2 COMBO ORGAN									Orgue	Keyboards
01K098JJ78YKT9T8H4H6FQ69RF	LESLIE - 3300	Orgue	3300									Orgue	Keyboards
01K098JNY3HGBYDCKF3WXBTRJD	LESLIE - 122/147	Orgue	122/147									Orgue	Keyboards
01K098JSMTQ1QH77FAKADG2KGB	LESLIE  - 142/145	Orgue	142/145									Orgue	Keyboards
01K098JXBPCV1PF03KSFSATVWF	ROLAND - VK8	Orgue	VK8									Orgue	Keyboards
01K42RYTM8H55JG0JXTYDQZF8G	HAMMOND - B3 + LESLIE 770	Orgue	B3 + LESLIE 770									Orgue	Keyboards
01K42RYVGW3EBSJD3C207Y4PKC	LESLIE - 147	Orgue	147									Orgue	Keyboards
01K42RYVNZNH1ZCP6CCD4FT9FV	LESLIE - 760	Orgue	760									Orgue	Keyboards
01K42TRRDT77GA49E55JBFJQHT	HAMMOND - XK-1	Orgue	XK-1	"<p>Clavier ma&icirc;tre/orgue compact reproduisant fid&egrave;lement le son tonewheel des consoles B-3mk2 via deux moteurs VASE III. 61 touches waterfall sensibles &agrave; la v&eacute;locit&eacute;, virtuelles drawbars &agrave; 9 tirettes s&eacute;lectionnables (Upper/Lower/Pedal) et percussion touch-responsive. Effets embarqu&eacute;s : Chorus/Vibrato analogique, Leslie num&eacute;rique, overdrive digital, reverb multitype. 64 presets + 64 utilisateurs, stockage sur carte CompactFlash (XK-3). Connexions : 2x ligne L/R, casque, Leslie 8 broches, MIDI In/Out&times;2, expression, footswitch. Mat&eacute;riaux : ch&acirc;ssis aluminium, panneaux lat&eacute;raux bois. Sans module non-organ.</p>
<p><strong>Constructeur :</strong>&nbsp;<a class=""reset interactable cursor-pointer decoration-1 underline-offset-1 text-super hover:underline font-semibold"" href=""http://www.hammondsuzuki.com/download/om-xk1f-924ea819-c5d2-470d-a082-e2b56d187727.pdf"" target=""_blank"" rel=""nofollow noopener"" data-state=""open"">http://www.hammondsuzuki.com/download/om-xk1f-924ea819-c5d2-470d-a082-e2b56d187727.pdf</a></p>"	1200	116.0	11.0	33.4	13.5	"[{""key"":""G\u00e9n\u00e9rateur"",""value"":""2\u00d7 VASE III tonewheel num\u00e9rique""},{""key"":""Tirage"",""value"":""9 tirettes virtuelles (3\u00d7 partie Upper\/Lower\/Pedal)""},{""key"":""Clavier"",""value"":""61 touches waterfall, v\u00e9locit\u00e9""},{""key"":""Polyphonie"",""value"":""Pleine (61 notes simultan\u00e9es)""},{""key"":""Effets"",""value"":""Chorus\/Vibrato, Leslie num\u00e9rique, overdrive digital, reverb""},{""key"":""Percussion"",""value"":""2e, 3e harmonique, soft, fast decay""},{""key"":""Connectique"",""value"":""Line Out L\/MONO, Line Out R, Headphone, Leslie 8-pin, MIDI In\u00d72\/Out\u00d72, Exp Pedal, Footswitch""},{""key"":""USB"",""value"":""Non""},{""key"":""Stockage"",""value"":""64 presets internes + 64 user (+ CompactFlash sur XK-3)""},{""key"":""Ann\u00e9es"",""value"":""2005\u20132011""}]"		Orgue	Keyboards
