id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K098D081N2KY61HKHSYVBE7M	KAWAI - MP9000	Piano numérique	MP9000									Piano numérique	Keyboards
01K098D3VDWKPFXGAWK9G09SRM	NORD - PIANO 4 88	Piano numérique	PIANO 4 88									Piano numérique	Keyboards
01K098D7EWJMSBYQGGTX8X3QN2	NORD  - PIANO 3 88	Piano numérique	PIANO 3 88									Piano numérique	Keyboards
01K098DB2M6EDAXJX6TM8NFMF6	NORD - PIANO 2 88	Piano numérique	PIANO 2 88									Piano numérique	Keyboards
01K098DEPT8WE4ATY1BZMN4F6K	YAMAHA  - N3 AVANT GRAND	Piano numérique	N3 AVANT GRAND									Piano numérique	Keyboards
01K098DJE2ZYM4T3GF2E9WB7P7	YAMAHA  - CLP175	Piano numérique	CLP175									Piano numérique	Keyboards
01K098DP327VTZMFQFE15E80GQ	YAMAHA  - CP1	Piano numérique	CP1									Piano numérique	Keyboards
01K098DSQW5K6KC5XYA46NPVJD	YAMAHA  - CP300	Piano numérique	CP300									Piano numérique	Keyboards
01K098DXDXNZ5AJ1EYZWNVA8AP	YAMAHA  - P250	Piano numérique	P250									Piano numérique	Keyboards
01K098E13C17X2KAE3NJ3ASC4P	YAMAHA  - P200	Piano numérique	P200									Piano numérique	Keyboards
01K42RYWDH4PXFCE96PB5F7TDY	NORD - ELECTRO 2	Piano numérique	ELECTRO 2									Piano numérique	Keyboards
01K42RYX48K11VFBZZQT2552F8	YAMAHA - CP 4	Piano numérique	CP 4									Piano numérique	Keyboards
01K42RYXBF0C6DNCR4RFP0H50A	YAMAHA - P-120	Piano numérique	P-120									Piano numérique	Keyboards
01K42TJ2NDRXZ8GVG5VJR2MP27	NORD - ELECTRO 5D 61	Piano numérique	ELECTRO 5D 61	"<p data-start=""129"" data-end=""412"">Ce clavier de sc&egrave;ne est &eacute;quip&eacute; de <strong data-start=""163"" data-end=""208"">61 touches semi-lest&eacute;es de type waterfall</strong>, offrant une r&eacute;ponse fluide adapt&eacute;e aussi bien aux techniques de jeu d&rsquo;orgue qu&rsquo;aux nuances du piano &eacute;lectrique. Les <strong data-start=""326"" data-end=""348"">tirettes physiques</strong> assurent un contr&ocirc;le direct et pr&eacute;cis des param&egrave;tres sonores.</p>
<p data-start=""414"" data-end=""785"">La <strong data-start=""417"" data-end=""434"">section Piano</strong> int&egrave;gre une m&eacute;moire de <strong data-start=""458"" data-end=""466"">1 Go</strong> et la technologie <strong data-start=""485"" data-end=""517"">Sympathetic String Resonance</strong>, reproduisant les r&eacute;sonances naturelles des cordes pour un rendu acoustique d&eacute;taill&eacute;. La <strong data-start=""607"" data-end=""624"">section Orgue</strong> comprend un <strong data-start=""637"" data-end=""661"">Principal Pipe Organ</strong>, tandis que la <strong data-start=""677"" data-end=""701"">section Sample Synth</strong> permet d&rsquo;importer et de modifier des &eacute;chantillons pour &eacute;largir la palette sonore.</p>
<p data-start=""787"" data-end=""1111"">Con&ccedil;u pour une <strong data-start=""802"" data-end=""829"">utilisation polyvalente</strong>, cet instrument combine <strong data-start=""854"" data-end=""872"">qualit&eacute; sonore</strong>, <strong data-start=""874"" data-end=""887"">ergonomie</strong> et <strong data-start=""891"" data-end=""917"">souplesse d&rsquo;adaptation</strong>. Il convient aussi bien aux <strong data-start=""946"" data-end=""983"">musiciens de sc&egrave;ne professionnels</strong> recherchant un contr&ocirc;le pr&eacute;cis qu&rsquo;aux <strong data-start=""1022"" data-end=""1044"">amateurs exigeants</strong> souhaitant explorer diff&eacute;rents styles et configurations sonores.</p>"	1300	90.0	9.7	29.6	8.1	"[{""key"":""Clavier"",""value"":""61 touches waterfall semi-lest\u00e9es v\u00e9locit\u00e9 (C-C)""},{""key"":""Polyphonie"",""value"":""60 voix maximum (40-60 piano, 15 samples, illimit\u00e9e orgue)""},{""key"":""Sections"",""value"":""3 (Piano, Sample Synth, Orgue)""},{""key"":""Modes"",""value"":""Split (6 points) + Layer bitimbral""},{""key"":""M\u00e9moire"",""value"":""1 GB Piano + 256 MB Samples + programmes orgue""},{""key"":""\u00c9cran"",""value"":""OLED 128\u00d764 pixels""},{""key"":""Tirettes"",""value"":""9 LED digitales (drawbars orgue)""},{""key"":""Effets"",""value"":""Pan, Tremolo, Wah, Ring Mod, Phaser, Flanger, Chorus, Vibe, EQ 3 bandes, Delay, Reverb""},{""key"":""Rotary"",""value"":""Simulation Leslie 122 avec contr\u00f4le vitesse""},{""key"":""Connectique"",""value"":""L\/R out, monitor in, casque, MIDI In\/Out, sustain, rotor, control pedal, USB""},{""key"":""Conversion"",""value"":""24-bit\/96 kHz""},{""key"":""Ann\u00e9es"",""value"":""2015-2018""}]"		Piano numérique	Keyboards
