id	name	type	model	description	price	length_cm	height_cm	width_cm	weight_kg	technical_specs	technical_doc	category_name	supercategory
01K09B2TV83PPJHN6CR1WJ4XHZ	MACKIE - ONYX 1620	Tables de mixage	ONYX 1620									Tables de mixage	Sono
01K09B2E8GGN7WM17KVV7Q9RSG	MACKIE  - CFX20MKII	Tables de mixage	CFX20MKII									Tables de mixage	Sono
01K09B2JG980GP4Y2KBK0FKZHM	MACKIE - CFX16MKII	Tables de mixage	CFX16MKII									Tables de mixage	Sono
01K09B2PNMZBHC8HNKA5B6RB97	MACKIE  - CFX12MKII	Tables de mixage	CFX12MKII									Tables de mixage	Sono
01K09B2Z0FZN7WZCZ26SAHGRYW	YAMAHA  - 01V96 V2	Tables de mixage	01V96 V2									Tables de mixage	Sono
01K42RYR6JS585B132884J24B1	MACKIE - 1642 VLZ 4	Tables de mixage	1642 VLZ 4									Tables de mixage	Sono
01K42RYRDQQY0DJJFAVWNXVBA5	MACKIE - MIXER 1402 VLZ3	Tables de mixage	MIXER 1402 VLZ3									Tables de mixage	Sono
01K42RYRNZ25Y2C05XV94EBM0Y	PIONEER - DJM-900 NEXUS 2	Tables de mixage	DJM 900NXS2									Tables de mixage	Sono
01K42RYRVXHHT2EQZ3K44G4M2P	RANE - TTM 57 SL	Tables de mixage	TTM 57 SL									Tables de mixage	Sono
01K42RYS2Q6A04GQYC2RHRXWWQ	RANE - TTM 72	Tables de mixage	TTM 72									Tables de mixage	Sono
01K42T67TEQZA3WXGEGAD6Y7MM	PIONEER - DJM 850	Tables de mixage	DJM 850	"<p>La DJM-850 s'impose comme une solution performante et fiable pour les prestations live, tourn&eacute;es et r&eacute;sidences de cr&eacute;ation musicale. Cette table 4 voies int&egrave;gre une carte son USB haute performance 24 bits/96 kHz qui facilite consid&eacute;rablement l'interfa&ccedil;age avec les logiciels de mix professionnels et les syst&egrave;mes de timecode vinyle. H&eacute;riti&egrave;re de l'ergonomie &eacute;prouv&eacute;e de la DJM-800, elle apporte des am&eacute;liorations significatives avec ses effets Beat Color utilisant le sidechaining et sa banque d'effets Beat d&eacute;riv&eacute;s de la DJM-900 Nexus. L'&eacute;galiseur isolateur 3 bandes et le syst&egrave;me P-Lock garantissent une utilisation intensive sans d&eacute;faillance. Sa construction robuste avec s&eacute;paration des circuits analogiques et digitaux, associ&eacute;e &agrave; sa compatibilit&eacute; &eacute;tendue (Traktor, Rekordbox), en font un choix adapt&eacute; aux exigences vari&eacute;es du backline professionnel et des environnements de cr&eacute;ation.</p>
<p class=""my-2 [&amp;+p]:mt-4 [&amp;_strong:has(+br)]:inline-block [&amp;_strong:has(+br)]:pb-2""><strong>Site constructeur officiel</strong>&nbsp;:&nbsp;<a class=""reset interactable cursor-pointer decoration-1 underline-offset-1 text-super hover:underline font-semibold"" href=""https://www.pioneerdj.com/fr-fr/product/mixer/archive/djm-850/black/specifications/"" target=""_blank"" rel=""nofollow noopener"" data-state=""closed"">https://www.pioneerdj.com/fr-fr/product/mixer/archive/djm-850/black/specifications/</a>​</p>
<p>&nbsp;</p>"	800	32.0	10.8	38.1	7.7	"[{""key"":""Type"",""value"":""Table de mixage DJ 4 voies avec carte son USB int\u00e9gr\u00e9e""},{""key"":""Canaux"",""value"":""4 voies st\u00e9r\u00e9o + 2 entr\u00e9es micro""},{""key"":""Carte son int\u00e9gr\u00e9e"",""value"":""4 entr\u00e9es st\u00e9r\u00e9o, 5 sorties st\u00e9r\u00e9o, connexion USB (port B), 24 bits""},{""key"":""Fr\u00e9quences d'\u00e9chantillonnage"",""value"":""96 kHz \/ 48 kHz \/ 44,1 kHz""},{""key"":""Convertisseurs"",""value"":""A\/N 24 bits, N\/A 32 bits""},{""key"":""Egaliseur par voie"",""value"":""3 bandes (isolateur : -\u221e ~ +6 dB \/ standard : -24 dB ~ +6 dB)""},{""key"":""Entr\u00e9es"",""value"":""4 CD\/ligne (RCA), 2 ligne (RCA), 2 phono (RCA), 2 micro (combo Neutrik XLR\/Jack 6,35mm)""},{""key"":""Sorties"",""value"":""Master (XLR\/RCA), Booth (Jack 6,35mm), casque (Jack 6,35mm), enregistrement (RCA), num\u00e9rique coaxiale""},{""key"":""Send\/Return"",""value"":""2 envois \/ 2 retours (Jack 6,35mm)""},{""key"":""MIDI"",""value"":""Sortie DIN 5 broches (contr\u00f4les enti\u00e8rement assignables)""},{""key"":""Effets int\u00e9gr\u00e9s"",""value"":""13 Beat Effects, 4 Sound Color FX avec sidechaining et FX Boost""},{""key"":""Compatibilit\u00e9s"",""value"":""Traktor Scratch Pro2\/Duo2, ASIO\/Core Audio""},{""key"":""Alimentation"",""value"":""AC 220-240V (50\/60 Hz), consommation 30W""},{""key"":""Autres"",""value"":""Syst\u00e8me P-Lock anti-arrachement, circuits analogique\/digitale s\u00e9par\u00e9s, compteur BPM automatique""}]"		Tables de mixage	Sono
